date,Kiss Me More,Not In The Mood,Scorpio,Memory,Volvi,Have Mercy,Ya Superame ,One Mississippi,Sand In My Boots,If I Didn't Love You,Easy On Me,Baddest,Tequila Little Time,Half Of My Hometown,Ghost,Wild Side,Knife Talk,Love Again,Ain't Shit,Life Goes On,Wockesha,Too Easy,I Was On A Boat That Day,Montero ,Industry Baby,Cold Beer Calling My Name,Take My Breath,Essence,Thot Shit,Stay,Thinking 'Bout You,Bad Habits,Chosen,Traitor,Pissed Me Off,Praise God,Beggin',Switches & Dracs,Come Through,Lets Go Brandon,Leave The Door Open,Happier Than Ever,Let's Go Brandon,Family Ties,Fancy Like,Jugaste y Sufri,Maybach,Levitating,Hurricane,Shivers,Who Want Smoke??,Get Into It ,'Til You Can't,Cold Heart ,2055,Whole Lotta Money,Better Days,Same Boat,Good 4 U,For Tonight,Buy Dirt,Way 2 Sexy,A-O-K,Need To Know,Knowing You,Bubbly,Like A Lady,Fair Trade,Girls Want Girls,Heat Waves,Big Energy,Thats What I Want,You Should Probably Leave,In The Bible,Who's In Your Head,Meet Me At Our Spot,Cold As You,Esta Danada,You Right,Gyalis,Nevada,Lo Siento BB:/,WFM,Poke It Out,Moth To A Flame,Freedom Was A Highway,Whiskey And Rain,Money,To Be Loved By You,Woman,My Boy,Just About Over You,Pepas,My Universe,Love Nwantiti ,Memory I Don't Mess With,Sharing Locations,No Friends In The Industry,Save Your Tears,Chasing After You
2021-01-03,2,63,97,98,11,22,0,55,53,8,1,82,9,0,72,24,1,74,18,94,0,43,0,18,1,0,28,79,1,86,50,12,55,39,31,18,2,0,77,0,0,0,0,16,3,4,69,18,4,23,0,52,0,25,86,1,49,53,0,74,34,0,0,52,61,49,83,30,48,37,55,6,11,89,0,0,53,1,83,0,100,0,44,13,4,0,6,85,43,100,90,36,11,5,1,30,3,0,77,22
2021-01-10,1,39,91,97,9,23,0,38,88,0,1,68,18,0,68,30,0,73,16,79,0,54,0,21,1,10,27,81,1,96,46,11,54,30,37,19,3,0,78,0,1,0,0,24,3,4,68,21,4,19,0,56,16,23,50,1,47,44,0,88,29,0,0,52,76,52,91,37,45,33,49,7,4,89,0,0,74,1,92,0,100,0,40,9,5,3,30,82,41,79,92,29,13,5,1,0,3,1,58,6
2021-01-17,1,82,90,99,12,22,0,38,87,0,1,76,0,0,71,33,1,63,14,66,0,71,0,21,1,0,22,80,1,85,88,10,52,25,49,21,3,0,80,0,1,0,0,23,3,7,63,19,4,19,0,65,16,22,55,1,100,59,0,100,44,0,0,55,68,49,84,37,45,51,43,10,7,92,0,1,57,0,89,2,85,0,39,30,5,0,12,86,60,76,82,45,14,6,1,0,10,0,47,6
2021-01-24,1,59,87,100,8,21,0,60,84,16,1,66,9,0,70,27,1,73,17,73,0,51,11,20,1,0,27,81,1,89,55,11,54,23,62,24,3,0,76,0,1,0,0,25,3,9,66,19,4,22,0,60,0,23,69,0,55,53,0,73,38,0,0,55,72,49,69,39,47,39,44,7,26,90,0,1,65,0,93,3,82,0,52,9,5,3,0,88,52,75,85,37,11,4,1,0,7,0,47,20
2021-01-31,1,69,92,97,11,24,0,38,100,16,1,90,9,0,67,34,2,70,14,68,0,48,0,23,1,0,23,81,0,83,61,12,53,23,12,20,2,0,84,0,0,0,0,40,3,4,74,19,4,22,0,62,0,24,73,1,48,67,1,69,25,1,0,56,77,51,75,43,45,27,53,3,19,91,0,1,69,0,95,5,83,0,38,9,3,0,18,88,66,72,94,40,12,6,1,0,7,0,47,14
2021-02-07,2,53,93,98,15,20,0,45,76,8,1,63,9,0,66,37,1,75,15,55,0,52,6,21,1,41,24,81,1,88,84,11,66,20,31,18,3,0,73,0,1,0,0,43,3,7,61,19,4,18,0,56,47,21,74,0,48,57,0,69,25,0,0,60,81,62,83,48,43,34,47,8,30,89,0,1,74,0,89,3,81,0,45,9,2,0,12,83,66,71,86,20,11,5,1,0,3,0,83,25
2021-02-14,2,62,89,97,8,22,1,38,29,16,1,69,9,0,67,36,2,80,14,65,0,60,0,18,1,10,35,83,0,89,56,10,59,21,56,17,3,0,71,0,2,0,0,34,2,2,62,19,5,21,0,61,32,25,56,2,39,31,0,71,29,0,0,57,79,55,79,50,51,28,35,1,11,93,31,2,90,0,93,3,82,0,44,17,2,0,12,84,47,69,88,37,13,5,2,31,3,0,57,31
2021-02-21,1,82,90,99,9,24,0,29,47,16,1,58,0,4,67,31,1,71,14,68,0,75,0,22,1,0,29,82,0,87,69,9,59,18,18,22,2,0,81,0,1,0,0,30,3,7,75,18,4,18,0,67,16,24,56,0,44,53,0,66,31,0,0,54,91,51,74,58,45,34,30,13,15,92,15,0,81,0,90,2,87,0,31,9,4,6,12,84,84,70,93,37,12,4,1,30,10,0,55,34
2021-02-28,1,63,87,94,15,23,0,42,45,8,1,52,9,0,65,29,2,70,13,66,0,46,0,20,0,0,22,82,0,83,50,10,56,20,43,20,2,0,86,0,26,0,0,21,3,4,64,18,5,18,0,65,0,22,66,0,47,72,0,59,32,0,0,57,77,61,85,55,41,29,51,6,29,87,0,1,92,1,91,5,81,0,44,4,4,0,24,81,84,66,91,53,11,4,1,0,13,0,52,11
2021-03-07,2,65,84,93,9,19,0,46,31,23,1,59,17,9,64,33,2,67,18,48,0,45,0,23,1,10,20,84,0,83,23,7,54,22,18,21,3,0,81,0,52,0,0,24,2,9,63,16,4,22,0,61,15,20,61,1,39,56,0,58,23,0,0,55,74,60,92,46,40,37,53,6,25,83,0,0,75,1,88,2,84,0,31,17,4,0,0,82,62,77,87,43,15,6,1,0,17,0,52,17
2021-03-14,1,71,83,99,10,20,0,54,25,7,1,62,25,0,64,31,0,70,17,53,0,60,5,23,1,0,27,79,1,86,61,9,61,31,6,18,3,0,84,0,67,0,0,31,2,2,63,32,5,15,0,66,30,23,62,0,55,54,0,59,43,0,0,57,78,53,79,44,39,33,40,9,35,82,29,0,73,0,84,0,84,0,29,8,7,0,40,81,44,77,88,33,15,5,1,0,10,0,47,19
2021-03-21,2,93,86,96,13,17,0,38,28,8,1,67,26,0,67,29,1,77,14,44,0,65,6,36,0,0,20,75,1,87,64,9,57,21,37,16,3,0,84,0,70,0,0,22,3,2,64,31,4,18,0,59,31,25,57,1,44,53,0,65,44,1,0,57,79,55,89,43,43,31,55,6,7,85,0,1,64,0,89,6,80,0,28,8,3,0,18,77,90,70,86,35,13,3,1,30,27,1,47,20
2021-03-28,1,55,86,93,9,18,0,44,24,16,1,62,0,0,67,27,2,74,11,49,0,42,0,100,1,11,21,79,0,87,43,8,78,29,38,16,3,0,76,0,75,0,0,26,2,0,63,32,4,21,0,55,16,16,62,3,53,63,0,66,22,0,0,57,69,55,79,41,41,43,37,6,54,100,16,2,79,0,85,2,76,0,33,9,1,3,38,81,62,71,90,26,11,3,1,0,11,0,45,29
2021-04-04,32,50,87,89,17,17,0,29,23,0,1,65,35,13,68,49,1,67,14,50,3,51,11,66,0,10,28,76,1,96,74,8,100,28,62,20,2,0,84,0,81,0,0,26,2,4,60,36,4,22,0,62,16,19,61,1,44,57,0,62,50,1,0,50,75,54,88,37,41,33,46,1,15,87,0,1,81,0,89,0,79,0,36,30,3,18,0,81,66,70,86,45,14,5,1,0,20,1,41,39
2021-04-11,53,74,80,92,9,23,0,34,15,32,1,64,27,9,67,43,1,71,12,44,0,64,6,58,1,0,27,80,0,89,61,8,91,24,31,20,3,0,94,0,94,0,0,27,3,2,66,47,5,24,0,64,16,18,62,9,46,54,0,62,52,0,7,57,80,56,58,37,43,35,55,11,30,86,0,0,73,0,84,2,82,0,37,9,1,9,24,84,52,68,85,56,9,4,1,0,17,0,45,26
2021-04-18,58,79,79,93,9,16,0,52,12,8,1,55,18,100,64,33,2,69,12,50,5,54,11,47,1,0,27,81,0,88,61,9,77,21,69,20,2,0,94,0,100,0,0,25,3,0,60,66,5,23,0,62,32,24,58,12,47,56,0,65,37,0,14,52,100,48,66,33,50,38,45,6,34,87,0,0,92,0,93,5,78,0,41,17,5,42,6,82,58,70,88,44,15,5,1,31,14,0,82,100
2021-04-25,68,87,100,90,10,21,0,26,20,0,1,58,26,9,63,31,2,70,10,45,47,37,0,43,0,10,23,76,0,89,54,9,71,24,30,20,3,0,100,0,93,19,0,21,3,0,60,70,5,20,0,60,15,19,49,21,52,37,0,69,43,0,7,54,81,47,74,41,38,35,52,4,14,84,0,1,82,0,83,3,77,0,31,25,5,0,12,79,53,69,84,38,13,4,1,0,3,0,75,41
2021-05-02,81,82,81,92,9,20,0,44,20,8,1,68,35,9,66,28,1,67,13,44,43,43,0,39,1,10,24,82,1,89,50,8,68,26,43,24,2,0,94,0,83,7,0,18,3,0,58,78,5,21,0,67,16,20,50,29,49,64,0,65,30,1,62,56,82,47,81,33,40,35,40,7,29,83,0,1,63,0,87,2,81,0,34,13,4,3,6,81,54,67,93,38,14,5,0,30,17,0,58,31
