,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
0,05/01/2016,Hello,Adele,,1,1,9,1,FALSE
1,05/01/2016,Sorry,Justin Bieber,,2,2,9,2,FALSE
2,05/01/2016,Love Yourself,Justin Bieber,,3,4,6,3,FALSE
3,05/01/2016,Hotline Bling,Drake,,2,3,21,4,FALSE
4,05/01/2016,What Do You Mean?,Justin Bieber,,1,5,17,5,FALSE
5,05/01/2016,Same Old Love,Selena Gomez,,6,6,15,6,FALSE
6,05/01/2016,Here,Alessia Cara,,7,8,21,7,FALSE
7,05/01/2016,Stitches,Shawn Mendes,,4,9,31,8,FALSE
8,05/01/2016,The Hills,The Weeknd,,1,7,31,9,FALSE
9,05/01/2016,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,8,10,25,10,FALSE
10,05/01/2016,All I Want For Christmas Is You,Mariah Carey,,11,18,14,11,FALSE
11,05/01/2016,Jumpman,Drake & Future,,12,13,14,12,FALSE
12,05/01/2016,Stressed Out,twenty one pilots,,13,19,14,13,FALSE
13,05/01/2016,679,Fetty Wap Featuring Remy Boyz,,4,11,26,14,FALSE
14,05/01/2016,In The Night,The Weeknd,,12,12,7,15,FALSE
15,05/01/2016,Antidote,Travis Scott,,16,16,16,16,FALSE
16,05/01/2016,On My Mind,Ellie Goulding,,13,14,14,17,FALSE
17,05/01/2016,Don't,Bryson Tiller,,18,20,13,18,FALSE
18,05/01/2016,Watch Me,Silento,,3,27,44,19,FALSE
19,05/01/2016,Roses,The Chainsmokers Featuring Rozes,,20,26,10,20,FALSE
20,05/01/2016,Can't Feel My Face,The Weeknd,,1,15,29,21,FALSE
21,05/01/2016,Wildest Dreams,Taylor Swift,,5,23,18,22,FALSE
22,05/01/2016,Ex's & Oh's,Elle King,,10,17,25,23,FALSE
23,05/01/2016,White Iverson,Post Malone,,22,22,16,24,FALSE
24,05/01/2016,Die A Happy Man,Thomas Rhett,,21,21,14,25,FALSE
25,05/01/2016,Say It,Tory Lanez,,26,28,10,26,FALSE
26,05/01/2016,Confident,Demi Lovato,,21,30,12,27,FALSE
27,05/01/2016,Lean On,Major Lazer & DJ Snake Featuring MO,,4,25,38,28,FALSE
28,05/01/2016,Trap Queen,Fetty Wap,,2,31,49,29,FALSE
29,05/01/2016,Rockin' Around The Christmas Tree,Brenda Lee,,14,38,15,30,FALSE
30,05/01/2016,Perfect,One Direction,,10,32,10,31,FALSE
31,05/01/2016,Break Up In A Small Town,Sam Hunt,,32,34,12,32,FALSE
32,05/01/2016,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,,33,46,6,33,FALSE
33,05/01/2016,Hit The Quan,iLoveMemphis,,15,52,19,34,FALSE
34,05/01/2016,Focus,Ariana Grande,,7,33,8,35,FALSE
35,05/01/2016,"Me, Myself & I",G-Eazy x Bebe Rexha,,36,40,8,36,FALSE
36,05/01/2016,My House,Flo Rida,,37,51,7,37,FALSE
37,05/01/2016,The Christmas Song (Merry Christmas To You),Nat King Cole,,38,0,7,38,FALSE
38,05/01/2016,Hands To Myself,Selena Gomez,,39,62,3,39,FALSE
39,05/01/2016,No Role Modelz,J. Cole,,36,36,19,40,FALSE
40,05/01/2016,See You Again,Wiz Khalifa Featuring Charlie Puth,,1,42,42,41,FALSE
41,05/01/2016,Hide Away,Daya,,41,41,14,42,FALSE
42,05/01/2016,Cake By The Ocean,DNCE,,43,47,10,43,FALSE
43,05/01/2016,Again,Fetty Wap,,33,45,20,44,FALSE
44,05/01/2016,Where Ya At,Future Featuring Drake,,28,35,23,45,FALSE
45,05/01/2016,Locked Away,R. City Featuring Adam Levine,,6,37,23,46,FALSE
46,05/01/2016,Jingle Bell Rock,Bobby Helms,,35,0,16,47,FALSE
47,05/01/2016,Do It Like Me,DLOW,,45,68,7,48,FALSE
48,05/01/2016,Where Are U Now,Skrillex & Diplo With Justin Bieber,,8,39,43,49,FALSE
49,05/01/2016,Burning House,Cam,,29,29,24,50,FALSE
50,05/01/2016,Exchange,Bryson Tiller,,48,48,9,51,FALSE
51,05/01/2016,Down In The DM,Yo Gotti Featuring Nicki Minaj,,52,57,4,52,FALSE
52,05/01/2016,Back To Sleep,Chris Brown,,53,64,2,53,FALSE
53,05/01/2016,When We Were Young,Adele,,22,55,5,54,FALSE
54,05/01/2016,Adventure Of A Lifetime,Coldplay,,39,44,7,55,FALSE
55,05/01/2016,Back Up,DeJ Loaf Featuring Big Sean,,47,53,12,56,FALSE
56,05/01/2016,One Call Away,Charlie Puth,,57,60,4,57,FALSE
57,05/01/2016,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,,22,54,7,58,FALSE
58,05/01/2016,I'll Show You,Justin Bieber,,19,59,8,59,FALSE
59,05/01/2016,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,,60,61,5,60,FALSE
60,05/01/2016,Big Rings,Drake & Future,,52,70,14,61,FALSE
