,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
0,2011-06-07,Rolling In The Deep,Adele,,1,1,21,1,False
1,2011-06-07,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",,2,3,9,2,False
2,2011-06-07,E.T.,Katy Perry Featuring Kanye West,,1,2,16,3,False
3,2011-06-07,On The Floor,Jennifer Lopez Featuring Pitbull,,3,5,14,4,False
4,2011-06-07,Just Can't Get Enough,The Black Eyed Peas,,3,4,15,5,False
5,2011-06-07,The Lazy Song,Bruno Mars,,5,6,14,6,False
6,2011-06-07,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,,3,7,13,7,False
7,2011-06-07,The Edge Of Glory,Lady Gaga,,3,19,3,8,False
8,2011-06-07,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,,8,8,10,9,False
9,2011-06-07,I'm On One,"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",,10,78,2,10,False
10,2011-06-07,I Love You This Big,Scotty McCreery,,11,0,1,11,True
11,2011-06-07,The Show Goes On,Lupe Fiasco,,9,9,22,12,False
12,2011-06-07,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,,6,10,17,13,False
13,2011-06-07,Super Bass,Nicki Minaj,,14,15,5,14,False
14,2011-06-07,Roll Up,Wiz Khalifa,,13,13,16,15,False
15,2011-06-07,S&M,Rihanna Featuring Britney Spears,,1,14,20,16,False
16,2011-06-07,Down On Me,Jeremih Featuring 50 Cent,,4,11,29,17,False
17,2011-06-07,Don't Wanna Go Home,Jason Derulo,,18,92,2,18,False
18,2011-06-07,Blow,Ke$ha,,7,18,19,19,False
19,2011-06-07,Like My Mother Does,Lauren Alaina,,20,0,1,20,True
20,2011-06-07,F**k You! (Forget You),CeeLo Green,,2,17,40,21,False
21,2011-06-07,Written In The Stars,Tinie Tempah Featuring Eric Turner,,12,16,15,22,False
22,2011-06-07,Good Life,OneRepublic,,23,28,9,23,False
23,2011-06-07,Honey Bee,Blake Shelton,,13,23,8,24,False
24,2011-06-07,Motivation,Kelly Rowland Featuring Lil Wayne,,21,21,7,25,False
25,2011-06-07,Just A Kiss,Lady Antebellum,,7,22,4,26,False
26,2011-06-07,Dirt Road Anthem,Jason Aldean,,27,29,8,27,False
27,2011-06-07,F**kin' Perfect,P!nk,,2,25,22,28,False
28,2011-06-07,Run The World (Girls),Beyonce,,29,50,6,29,False
29,2011-06-07,For The First Time,The Script,,23,26,22,30,False
30,2011-06-07,I Won't Let Go,Rascal Flatts,,31,33,18,31,False
31,2011-06-07,All Of The Lights,Kanye West,,18,27,22,32,False
32,2011-06-07,Light Up The World,Glee Cast,,33,0,1,33,True
33,2011-06-07,Backseat,New Boyz Featuring The Cataracs & Dev,,26,30,15,34,False
34,2011-06-07,Who Says,Selena Gomez & The Scene,,24,35,11,35,False
