,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
0,2016-01-05,Hello,Adele,,1,1,10,1,False
1,2016-01-05,Sorry,Justin Bieber,,2,2,9,2,False
2,2016-01-05,Here,Alessia Cara,,3,3,13,3,False
3,2016-01-05,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,,4,4,13,4,False
4,2016-01-05,Same Old Love,Selena Gomez,,5,6,11,5,False
5,2016-01-05,Hotline Bling,Drake,,2,5,15,6,False
6,2016-01-05,Stitches,Shawn Mendes,,3,7,18,7,False
7,2016-01-05,On My Mind,Ellie Goulding,,8,8,13,8,False
8,2016-01-05,Wildest Dreams,Taylor Swift,,1,9,17,9,False
9,2016-01-05,Ex's & Oh's,Elle King,,5,10,19,10,False
10,2016-01-05,In The Night,The Weeknd,,11,11,6,11,False
11,2016-01-05,What Do You Mean?,Justin Bieber,,3,12,17,12,False
12,2016-01-05,The Hills,The Weeknd,,1,13,20,13,False
13,2016-01-05,Stressed Out,twenty one pilots,,14,16,4,14,False
14,2016-01-05,Antidote,Travis Scott,,15,19,7,15,False
15,2016-01-05,Die A Happy Man,Thomas Rhett,,14,14,8,16,False
16,2016-01-05,Jumpman,Drake & Future,,17,23,5,17,False
17,2016-01-05,Confident,Demi Lovato,,18,18,9,18,False
18,2016-01-05,Love Yourself,Justin Bieber,,19,33,2,19,False
19,2016-01-05,Gonna Know We Were Here,Jason Aldean,,16,17,12,20,False
20,2016-01-05,All I Want For Christmas Is You,Mariah Carey,,12,31,18,21,False
21,2016-01-05,Stay A Little Longer,Brothers Osborne,,21,21,10,22,False
22,2016-01-05,Can't Feel My Face,The Weeknd,,1,27,29,23,False
23,2016-01-05,Roses,The Chainsmokers Featuring Rozes,,24,30,3,24,False
24,2016-01-05,Locked Away,R. City Featuring Adam Levine,,2,28,22,25,False
25,2016-01-05,I Love This Life,LOCASH,,25,25,7,26,False
26,2016-01-05,White Iverson,Post Malone,,24,24,9,27,False
27,2016-01-05,Say It,Tory Lanez,,28,29,6,28,False
28,2016-01-05,679,Fetty Wap Featuring Remy Boyz,,10,26,18,29,False
29,2016-01-05,Lean On,Major Lazer & DJ Snake Featuring MO,,2,34,31,30,False
30,2016-01-05,Rockin' Around The Christmas Tree,Brenda Lee,,31,41,4,31,False
31,2016-01-05,Perfect,One Direction,,32,37,4,32,False
32,2016-01-05,Burning House,Cam,,15,15,11,33,False
33,2016-01-05,Jingle Bell Rock,Bobby Helms,,34,0,2,34,False
34,2016-01-05,Top Of The World,Tim McGraw,,21,22,11,35,False
35,2016-01-05,Gonna,Blake Shelton,,14,20,14,36,False
36,2016-01-05,Hide Away,Daya,,37,39,3,37,False
