,Date,Title,Artist,Image,PeakPos,LastPos,Weeks,Rank,IsNew
0,2011-06-07,Rolling In The Deep,Adele,,1,2,11,1,False
1,2011-06-07,E.T.,Katy Perry Feat. Kanye West,,1,1,14,2,False
2,2011-06-07,Just Can't Get Enough,The Black Eyed Peas,,2,3,14,3,False
3,2011-06-07,Give Me Everything,Pitbull,,4,6,7,4,False
4,2011-06-07,On The Floor,Jennifer Lopez Feat. Pitbull,,5,5,12,5,False
5,2011-06-07,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,,4,4,13,6,False
6,2011-06-07,The Lazy Song,Bruno Mars,,7,7,11,7,False
7,2011-06-07,The Show Goes On,Lupe Fiasco,,8,8,13,8,False
8,2011-06-07,Roll Up,Wiz Khalifa,,9,12,12,9,False
9,2011-06-07,Look At Me Now,Chris Brown,,7,10,16,10,False
10,2011-06-07,S&M,Rihanna,,1,11,17,11,False
11,2011-06-07,Down On Me,Jeremih Feat. 50 Cent,,3,9,24,12,False
12,2011-06-07,F**kin' Perfect,P!nk,,3,15,21,13,False
13,2011-06-07,Written In The Stars,Tinie Tempah Feat. Eric Turner,,11,13,14,14,False
14,2011-06-07,For The First Time,The Script,,14,14,17,15,False
15,2011-06-07,F**k You! (Forget You),CeeLo Green,,1,16,27,16,False
16,2011-06-07,Blow,Ke$ha,,9,17,17,17,False
17,2011-06-07,Motivation,Kelly Rowland Feat. Lil Wayne,,18,18,6,18,False
18,2011-06-07,Old Alabama,Brad Paisley Feat. Alabama,,19,22,9,19,False
19,2011-06-07,She Ain't You,Chris Brown,,20,25,7,20,False
20,2011-06-07,Just The Way You Are,Bruno Mars,,1,20,44,21,False
21,2011-06-07,All Of The Lights,Kanye West,,13,19,19,22,False
22,2011-06-07,Sure Thing,Miguel,,21,21,9,23,False
23,2011-06-07,The Edge Of Glory,Lady Gaga,,24,37,3,24,False
24,2011-06-07,Party Rock Anthem,LMFAO,,25,40,5,25,False
25,2011-06-07,Without You,Keith Urban,,26,27,11,26,False
26,2011-06-07,My Last,Big Sean Feat. Chris Brown,,26,26,8,27,False
27,2011-06-07,Firework,Katy Perry,,1,23,32,28,False
28,2011-06-07,Mean,Taylor Swift,,29,29,9,29,False
29,2011-06-07,Honey Bee,Blake Shelton,,30,33,6,30,False
30,2011-06-07,I Won't Let Go,Rascal Flatts,,24,24,15,31,False
31,2011-06-07,You Lie,The Band Perry,,32,35,11,32,False
32,2011-06-07,Price Tag,Jessie J Featuring B.o.B,,31,31,10,33,False
33,2011-06-07,Grenade,Bruno Mars,,1,28,30,34,False
34,2011-06-07,Backseat,New Boyz Feat. The Cataracs & Dev,,30,32,14,35,False
35,2011-06-07,Good Life,OneRepublic,,36,44,4,36,False
36,2011-06-07,Racks,YC Feat. Future,,31,36,10,37,False
37,2011-06-07,If Heaven Wasn't So Far Away,Justin Moore,,38,43,8,38,False
38,2011-06-07,Tomorrow,Chris Young,,39,42,8,39,False
39,2011-06-07,Heart Like Mine,Miranda Lambert,,25,30,16,40,False
40,2011-06-07,Don't Wanna Go Home,Jason Derulo,,41,51,2,41,False
41,2011-06-07,Super Bass,Nicki Minaj,,42,45,3,42,False
42,2011-06-07,Far Away,Marsha Ambrosius,,37,39,12,43,False
43,2011-06-07,Bleed Red,Ronnie Dunn,,41,41,15,44,False
44,2011-06-07,I'm On One,DJ Khaled,,45,69,2,45,False
45,2011-06-07,Dirt Road Anthem,Jason Aldean,,46,53,4,46,False
46,2011-06-07,Somewhere Else,Toby Keith,,46,46,7,47,False
47,2011-06-07,Country Girl (Shake It For Me),Luke Bryan,,48,49,6,48,False
48,2011-06-07,Who Says,Selena Gomez & The Scene,,49,50,4,49,False
49,2011-06-07,Just A Kiss,Lady Antebellum,,50,60,2,50,False
50,2011-06-14,Rolling In The Deep,Adele,,1,1,12,1,False
51,2011-06-14,E.T.,Katy Perry Feat. Kanye West,,1,2,15,2,False
52,2011-06-14,Give Me Everything,Pitbull,,3,4,8,3,False
53,2011-06-14,Just Can't Get Enough,The Black Eyed Peas,,2,3,15,4,False
54,2011-06-14,On The Floor,Jennifer Lopez Feat. Pitbull,,5,5,13,5,False
55,2011-06-14,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,,4,6,14,6,False
56,2011-06-14,The Lazy Song,Bruno Mars,,7,7,12,7,False
57,2011-06-14,The Show Goes On,Lupe Fiasco,,8,8,14,8,False
58,2011-06-14,Roll Up,Wiz Khalifa,,9,9,13,9,False
59,2011-06-14,Look At Me Now,Chris Brown,,7,10,17,10,False
60,2011-06-14,Down On Me,Jeremih Feat. 50 Cent,,3,12,25,11,False
61,2011-06-14,Motivation,Kelly Rowland Feat. Lil Wayne,,12,18,7,12,False
62,2011-06-14,F**kin' Perfect,P!nk,,3,13,22,13,False
63,2011-06-14,S&M,Rihanna,,1,11,18,14,False
64,2011-06-14,The Edge Of Glory,Lady Gaga,,15,24,4,15,False
65,2011-06-14,Party Rock Anthem,LMFAO,,16,25,6,16,False
66,2011-06-14,For The First Time,The Script,,14,15,18,17,False
67,2011-06-14,F**k You! (Forget You),CeeLo Green,,1,16,28,18,False
68,2011-06-14,Written In The Stars,Tinie Tempah Feat. Eric Turner,,11,14,15,19,False
69,2011-06-14,She Ain't You,Chris Brown,,20,20,8,20,False
70,2011-06-14,My Last,Big Sean Feat. Chris Brown,,21,27,9,21,False
71,2011-06-14,Sure Thing,Miguel,,21,23,10,22,False
72,2011-06-14,Blow,Ke$ha,,9,17,18,23,False
73,2011-06-14,Just The Way You Are,Bruno Mars,,1,21,45,24,False
74,2011-06-14,All Of The Lights,Kanye West,,13,22,20,25,False
75,2011-06-14,Without You,Keith Urban,,26,26,12,26,False
76,2011-06-14,Honey Bee,Blake Shelton,,27,30,7,27,False
77,2011-06-14,Firework,Katy Perry,,1,28,33,28,False
78,2011-06-14,Mean,Taylor Swift,,29,29,10,29,False
79,2011-06-14,Old Alabama,Brad Paisley Feat. Alabama,,19,19,10,30,False
80,2011-06-14,Super Bass,Nicki Minaj,,31,42,4,31,False
81,2011-06-14,Don't Wanna Go Home,Jason Derulo,,32,41,3,32,False
82,2011-06-14,You Lie,The Band Perry,,32,32,12,33,False
83,2011-06-14,Far Away,Marsha Ambrosius,,34,43,13,34,False
84,2011-06-14,If Heaven Wasn't So Far Away,Justin Moore,,35,38,9,35,False
85,2011-06-14,Tomorrow,Chris Young,,36,39,9,36,False
86,2011-06-14,I'm On One,DJ Khaled,,37,45,3,37,False
87,2011-06-14,Grenade,Bruno Mars,,1,34,31,38,False
88,2011-06-14,Good Life,OneRepublic,,36,36,5,39,False
89,2011-06-14,Price Tag,Jessie J Featuring B.o.B,,31,33,11,40,False
90,2011-06-14,Backseat,New Boyz Feat. The Cataracs & Dev,,30,35,15,41,False
91,2011-06-14,Dirt Road Anthem,Jason Aldean,,42,46,5,42,False
92,2011-06-14,Just A Kiss,Lady Antebellum,,43,50,3,43,False
93,2011-06-14,I Won't Let Go,Rascal Flatts,,24,31,16,44,False
94,2011-06-14,Racks,YC Feat. Future,,31,37,11,45,False
95,2011-06-14,Bleed Red,Ronnie Dunn,,41,44,16,46,False
96,2011-06-14,Knee Deep,Zac Brown Feat. Jimmy Buffett,,47,53,3,47,False
97,2011-06-14,Somewhere Else,Toby Keith,,46,47,8,48,False
98,2011-06-14,Who Says,Selena Gomez & The Scene,,49,49,5,49,False
99,2011-06-14,Am I The Only One,Dierks Bentley,,50,51,4,50,False
100,2011-06-21,Rolling In The Deep,Adele,,1,1,13,1,False
101,2011-06-21,Give Me Everything,Pitbull,,2,3,9,2,False
102,2011-06-21,E.T.,Katy Perry Feat. Kanye West,,1,2,16,3,False
103,2011-06-21,Just Can't Get Enough,The Black Eyed Peas,,2,4,16,4,False
