date,Love The Way You Lie,Dynamite,California Gurls,I Like It,Teenage Dream,Cooler Than Me,DJ Got Us Fallin' In Love,Mine,Airplanes,Ridin' Solo,Magic,Billionaire,Find Your Love,Not Afraid,OMG,Just The Way You Are,Your Love,Club Can't Handle Me,Misery,Take It Off,"Hey, Soul Sister",Bottoms Up,Break Your Heart,The Only Exception,Bulletproof,Stuck Like Glue,There Goes My Baby,Alejandro,The Boys of Fall,Impossible,Teach Me How To Dougie,Smile,Need You Now,Pretty Boy Swag,Half Of My Heart,Your Love Is My Drug,All About Tonight,Free,Deuces,Got Your Back,Secrets,If I Had You,Unthinkable,Breakeven,Undo It,Love Like Crazy,"Lover, Lover",Pretty Good At Drinkin' Beer,Miss Me,If It's Love,If I Die Young,Ride,King Of Anything,Animal,La La La,Gettin' Over You,POWER,Circle The Drain,My First Kiss,Blowin Money Fast,I'm In,Our Kind Of Love,Letting Go Dutty Love,Rockstar 101,Little White Church,Round & Round,2012 It Ain't The End,Waka Waka This Time For Africa,Kissin U,Come Back Song,Break My Bank,Hello Good Morning,Love All Over Me,Farmer's Daughter,Champagne Life,143,As She's Walking Away,Glitter In The Air,Bittersweet,The Catalyst,Roll With It,Rock That Body,All Over Me,This Afternoon,Fancy,Somebody To Love,Lose My Mind,This Ain't Nothin',Bed Intruder Song,Water,September,Like A G6,The Man Who Can't Be Moved,Hold You Hold Yuh,Mockingbird,Rhythm of Love,Love Like Woe,Little Lion Man,Lay Me Down,Hot Tottie,Nothin' On You,Not Like The Movies,Rain Is A Good Thing,I Never Told You,The House That Built Me,Beautiful Monster,Pray For You,We'll Be A Dream,Crazy Town,Sex Room,All I Do Is Win,In My Head,Haven't Met You Yet,Get Ready Its a new day,Nightmare,She Won't Be Lonely Long,The Crow & The Butterfly,Cuando Me Enamoro,Over,Jar Of Hearts,Can't Be Tamed,Ordinary Girl,Aston Martin Music,Eenie Meenie,If We Ever Meet Again,Opposite Of Adults,No Love,The Man I Want To Be,Wavin' Flag,Rude Boy,Telephone,Whataya Want From Me,My Chick Bad,Gimmie That Girl,Shark In The Water,Neighbors Know My Name,Up On The Ridge,Never Say Never,Young Forever,I Gotta Feeling,Outta Your Mind,Wrong Baby Wrong,I Can Do Anything,TiK ToK,Won't Back Down,Cold Wind Blows,Stay,I Keep On Loving You,Talkin' 2 Myself,Up All Night,25 To Life,I'm Back,I Made It Cash Money Heroes,Bad Romance,9 AM In Dallas,Hey,Fireworks,Winner,Another Way To Die,Lil Freak,Double Vision,Solo,Finding My Way Back,Faithfully,Over The Rainbow,Any way you want it,Don't Stop Believin',Bionic,Not Myself Tonight,To Sir With Love,Bohemian Rhapsody,"Beamer, Benz, Or Bentley",Poker Face,I Gotta Get To You,Keep On Lovin' You,Everything To Me,Woohoo,Yeah Ya Know Takers,Imma Be,Hey Daddy Daddy's Home,Baby,You And Your Heart,Good Vibrations,Beautiful Day,Deja Vu,Hallelujah,Another One Bites The Dust,Falling Slowly,Unstoppable,Tell Me Something Good,Loser,It's a man's world,Dirty Picture,Roger That,Say Aah,All The Right Moves,Carry Out,Up To The Mountain,American Honey,Beth,Leave Right Now,Ain't Back Yet,Highway 20 Ride,The Boxer,Touchin On My,Dream On,Who Dat,I Dreamed A Dream,Jessie's Girl,Super High,Neutron Star Collision Love Is Forever,Say Something,Safety Dance,Steady Mobbin',Hell On The Heart,Blah Blah Blah,Pyramid,A Little More Country Than That,Today Was A Fairytale,Window Seat
2010-05-01,0,26,0,33,0,15,0,53,82,29,91,27,50,69,69,5,78,0,35,27,75,6,89,65,67,0,26,26,0,83,11,77,89,10,16,58,16,90,2,9,49,20,9,69,10,29,20,0,21,31,6,79,0,89,92,16,85,0,4,0,88,15,0,15,50,36,0,4,51,34,0,26,9,91,4,67,0,20,80,3,11,82,33,45,81,23,37,16,0,71,13,12,56,48,38,24,13,39,52,0,94,0,72,77,48,2,81,21,56,63,48,95,47,0,100,80,0,5,66,0,20,5,4,100,92,95,55,16,22,100,100,63,100,88,47,73,23,20,61,90,48,55,23,93,0,2,80,43,0,21,7,87,29,89,0,97,1,33,7,99,41,91,0,28,47,6,11,39,100,2,55,68,64,57,17,83,15,0,100,0,95,68,18,22,46,27,30,4,55,6,12,27,87,92,100,100,98,0,92,55,4,100,48,59,0,35,55,13,6,39,0,82,19,81,52,100,61,28,90,28
2010-05-02,0,28,0,35,0,14,0,50,88,32,92,27,45,50,69,3,84,0,37,26,93,6,84,70,60,0,25,23,2,80,15,81,90,10,28,60,31,89,2,5,50,33,9,82,5,34,19,0,19,30,10,83,0,89,95,9,88,0,5,0,95,14,0,15,7,35,0,3,65,24,0,18,8,22,7,69,0,25,100,4,16,89,40,61,82,19,25,61,0,92,16,15,27,23,55,15,18,57,35,0,67,3,33,80,44,2,62,42,57,53,69,99,46,0,83,61,0,5,70,0,19,5,0,94,92,100,46,61,17,87,81,65,77,86,53,76,15,24,58,63,11,81,45,81,4,0,81,52,0,27,10,72,28,79,0,95,1,37,2,71,24,92,54,16,61,17,85,49,87,2,43,100,51,56,50,88,17,0,85,95,94,75,28,23,63,33,35,12,63,6,14,26,57,66,97,73,100,2,90,66,6,54,93,69,0,29,49,14,0,59,0,100,8,85,62,84,70,46,99,26
2010-05-03,0,20,0,28,0,15,0,44,80,25,78,29,34,55,53,3,66,0,37,26,51,5,66,61,62,1,29,24,3,62,7,79,72,10,17,53,24,74,6,5,43,27,10,79,7,34,15,0,14,17,5,78,0,96,97,8,92,0,14,0,83,4,0,7,21,11,0,1,35,18,0,17,6,40,3,66,0,32,63,6,24,48,33,70,71,15,24,0,0,98,15,14,31,9,71,12,20,37,62,0,78,2,63,61,65,1,63,0,46,51,50,75,58,0,59,46,0,6,69,0,15,1,0,72,75,69,38,52,17,62,87,51,77,58,30,52,11,18,50,50,22,51,43,70,2,1,86,80,0,19,5,100,32,62,0,68,1,24,5,100,33,83,14,21,41,4,40,32,59,2,35,0,38,53,26,80,11,0,59,0,85,63,12,14,32,24,35,6,77,5,12,0,33,85,51,61,73,1,100,60,4,58,66,42,0,28,29,11,8,57,0,89,13,69,73,70,70,70,44,20
2010-05-04,0,21,0,29,0,18,0,41,81,30,77,25,36,53,63,3,65,0,38,25,20,2,64,52,56,0,33,22,0,64,4,78,67,12,26,43,12,74,5,3,40,21,10,74,6,50,28,0,18,33,5,72,0,93,95,8,96,2,35,0,78,4,0,5,5,31,28,3,23,14,0,18,3,22,3,61,0,25,69,16,12,40,18,72,82,18,33,23,0,89,15,12,20,17,69,28,17,28,56,8,68,0,40,58,61,1,80,38,61,46,51,65,48,0,41,38,0,3,68,0,23,6,3,60,53,50,42,56,18,57,89,45,64,56,30,58,22,20,45,61,3,40,63,74,1,0,81,62,0,13,2,58,31,60,0,74,1,23,1,87,37,81,26,31,30,12,23,26,55,2,37,49,41,31,25,85,14,0,55,0,82,49,29,14,38,25,22,7,67,3,13,0,47,100,52,62,58,0,68,68,3,88,39,43,0,30,38,7,0,38,0,75,8,78,62,58,69,54,46,27
2010-05-05,0,20,0,26,0,16,0,38,70,31,74,27,34,54,63,3,65,0,33,24,50,5,68,54,54,1,25,22,0,68,7,74,67,11,20,50,17,73,3,7,42,17,9,78,7,39,14,0,15,20,4,68,2,94,99,11,94,0,74,0,81,11,0,7,16,19,0,5,37,21,0,12,13,22,3,55,0,37,71,9,16,51,21,73,77,15,27,23,0,86,13,9,15,35,68,17,12,40,58,0,56,0,37,57,70,0,68,8,57,50,53,72,37,0,35,32,0,3,65,0,100,1,0,61,65,45,36,63,20,64,90,54,63,21,20,76,22,20,45,62,19,54,34,74,1,0,82,47,0,19,4,64,11,61,0,78,1,25,5,74,40,79,0,27,26,4,24,40,52,3,49,25,40,73,50,76,14,0,47,0,86,60,19,19,40,20,42,7,71,4,50,0,62,91,60,44,79,1,100,63,2,41,55,42,0,28,23,7,8,43,0,78,12,84,46,81,68,0,62,50
2010-05-06,0,25,1,30,0,14,0,37,78,34,74,31,29,47,59,5,57,0,32,23,35,3,61,56,56,0,24,29,0,64,10,78,66,15,15,51,6,74,2,1,41,21,8,69,16,43,58,0,14,34,5,65,3,90,98,10,94,0,55,0,80,7,0,5,47,19,0,3,20,11,0,23,19,45,0,63,0,37,67,8,24,65,31,59,88,15,36,11,0,83,14,10,5,35,68,6,10,28,67,3,74,2,34,57,76,2,67,47,84,55,39,64,55,0,34,65,0,4,67,0,89,3,0,58,66,58,38,23,19,60,88,60,76,43,23,56,0,16,44,62,11,68,30,69,2,0,78,24,0,14,7,61,43,58,0,71,1,25,1,85,28,80,27,19,22,4,24,36,41,2,45,50,37,42,0,72,10,0,62,71,84,43,27,19,35,23,39,6,50,0,24,0,70,80,57,66,84,2,99,63,25,25,70,39,0,22,31,8,21,53,0,67,12,80,72,78,69,35,54,29
2010-05-07,0,21,13,32,0,14,0,41,73,35,81,32,35,43,62,2,65,0,34,21,75,4,65,58,66,2,30,28,2,70,13,79,78,15,25,48,25,74,2,7,44,27,12,59,19,46,0,0,16,39,2,70,0,89,94,14,92,0,51,0,76,4,0,6,33,31,0,2,24,31,0,20,8,36,3,68,0,36,63,6,8,46,28,57,86,19,53,37,0,75,13,12,22,47,63,18,15,37,59,0,82,3,50,64,64,0,52,17,79,63,55,73,46,0,45,21,0,4,62,0,66,4,0,63,72,47,40,43,24,67,90,56,86,23,36,46,24,19,49,59,9,54,41,79,4,2,78,34,0,14,6,58,11,80,0,76,1,26,10,69,24,83,58,25,22,32,26,30,48,2,43,0,44,45,27,93,15,0,65,0,89,60,26,19,41,24,39,5,52,5,14,10,69,97,57,52,80,2,82,66,8,44,75,47,0,24,35,7,13,52,4,67,10,100,81,82,62,44,45,22
2010-05-08,0,31,23,30,0,26,0,38,93,42,90,37,40,51,72,3,77,0,44,23,100,7,100,63,60,1,27,30,0,79,10,79,76,17,26,60,23,89,6,3,46,28,11,70,37,26,38,0,17,11,5,70,2,84,94,18,85,0,69,0,74,0,0,10,35,32,0,1,57,33,0,23,8,82,3,80,0,34,72,4,26,76,27,39,89,21,49,15,0,65,13,11,0,70,42,23,8,35,74,0,87,1,50,77,88,2,85,31,80,60,58,100,69,0,48,17,0,7,65,0,66,8,0,84,100,88,53,23,29,86,86,65,97,38,50,48,15,21,56,77,7,90,51,100,3,0,75,73,0,20,9,80,57,100,0,92,1,24,7,92,17,93,36,25,54,22,42,42,49,2,59,0,59,70,67,98,29,0,86,0,99,68,24,34,46,28,51,4,77,8,13,13,78,75,49,91,99,1,78,58,7,54,66,54,0,26,33,8,11,40,0,73,17,66,84,91,56,46,74,35
2010-05-09,0,26,25,34,0,22,0,45,93,47,91,41,36,51,67,4,80,0,40,27,67,5,83,65,74,3,23,28,2,74,15,81,100,16,26,62,0,91,5,3,49,21,12,91,44,45,39,0,20,41,4,76,6,86,97,18,87,0,62,0,82,15,0,8,35,25,0,3,80,10,0,8,9,45,3,75,0,27,73,5,21,78,30,68,91,26,34,31,0,70,15,14,34,58,59,31,26,49,61,0,100,6,54,69,70,2,62,42,45,67,68,83,46,0,55,26,0,8,69,0,65,4,4,78,82,73,48,69,30,79,74,78,89,19,47,57,0,25,100,69,33,68,28,82,4,0,82,84,0,26,7,83,14,89,0,100,1,24,2,60,20,96,0,26,74,0,32,49,47,2,52,34,55,28,67,100,73,0,84,0,94,64,28,28,39,26,51,9,66,4,14,13,67,72,89,68,92,0,77,62,10,44,100,56,0,35,18,16,0,50,0,79,9,75,62,67,71,74,77,27
2010-05-10,0,24,18,30,0,20,0,39,76,38,75,35,30,40,63,4,63,0,31,24,40,2,65,46,66,3,29,24,0,61,9,80,65,11,34,44,23,71,8,4,39,11,9,59,45,27,0,0,17,28,5,73,23,95,95,14,95,0,52,0,81,21,0,6,15,13,0,2,40,21,0,11,6,44,0,68,0,38,64,9,23,43,32,52,78,16,42,0,0,85,16,9,30,35,73,0,10,36,49,0,66,2,58,67,44,1,72,31,36,58,44,65,60,0,32,19,37,10,72,0,42,3,3,52,75,64,37,73,26,52,83,51,77,35,39,51,33,17,59,50,16,83,50,54,5,1,86,85,0,9,5,69,42,61,0,69,1,24,5,68,27,82,40,28,44,29,63,34,37,2,44,0,37,42,25,54,42,0,55,0,86,50,28,20,49,23,36,7,60,1,13,0,69,75,59,44,71,1,80,65,1,32,54,37,0,24,34,13,12,65,4,81,10,77,62,65,72,34,43,20
