date,Last Friday Night T G I F ,Party Rock Anthem,Moves Like Jagger,Super Bass,Lighters,How To Love,Give Me Everything,Pumped Up Kicks,I Wanna Go,Good Life,Tonight Tonight,Rolling In The Deep,Headlines,The Edge Of Glory,If I Die Young,I'm On One,Remind Me,Best Thing I Never Had,Stereo Hearts,Dirt Road Anthem,Knee Deep,Motivation,You Make Me Feel   ,Just A Kiss,Cheers Drink To That,Barefoot Blue Jean Night,Country Girl Shake It For Me,Where Them Girls At,Just Can't Get Enough,Rain Over Me,She Ain't You,E T ,You And Tequila,The Lazy Song,Every Teardrop Is A Waterfall,Otis,On The Floor,Honey Bee,It Girl,Marvins Room,The Show Goes On,Am I The Only One,Out Of My Head,Who Gon Stop Me,God Gave Me You,I'm Into You,Take A Back Road,Till The World Ends,Sure Thing,My Last,Someone Like You,Take Over Control,Mr  Saxobeat,Made In America,Love You Like A Love Song,Marvin & Chardonnay,Don't Wanna Go Home,Keep Your Head Up,I Love You This Big,Long Hot Summer,Love Done Gone,Better With The Lights Off,Pretty Girls,Hello,Just Fishin',Titanium,Baggage Claim,What You Want,Quickie,In The Dark,Here For A Good Time,Never Gonna Leave This Bed,Smile,Country Must Be Country Wide,Ni**as in Paris,Easy,Man Down,We Don't Get Down Like Y'all,Drunk On You,The Adventures Of Rain Dance Maggie,California King Bed,Skyscraper,Gucci Gucci,Sparks Fly,"Save Me, San Francisco",Don't Stop The Party,Faster,On My Level,Nothing,Till I'm Gone,Unusual,Walk,Booty Wurk One Cheek At A Time,Fish,One More Drinkin' Song,You And I,Mrs  Right,No Sleep,Rumour Has It,Old Alabama,Crazy Girl,Look At Me Now,Don't You Wanna Stay,Homeboy,Best Love Song,Right There,If Heaven Wasn't So Far Away,Under And Over It,Lights,Ships In The Night,Set Fire To The Rain,John,Far Away,Oh My,Tomorrow,Mean,Who Says,Dirty Dancer,Novacane,I Smile,F**kin' Perfect,F**k You Forget You,Up All Night,Outlaw,Racks,Ballin',The Story Of Us,Hustle Hard,Blow,Firework,For The First Time,You Lie,What If,Watch Me,Country Song,Run The World Girls,Roll Up,S&M,Iridescent,Without You,Work Out,I Wouldn't Be A Man,Stitch By Stitch,Taboo,Donald Trump,Inventing Shadows,Man In The Mirror,I Won't Back Down,Written In The Stars,Little Bad Girl,Beautiful,Afraid To Sleep,Heartless,Shake Senora,Losing My Religion,Moving To Mars,Backseat,Major Minus,High,Fix You,Down On Me,Born This Way,Dog Days Are Over,Best Friend's Brother,Heart Like Mine,The Man Who Can't Be Moved,Next To You,So In Love,Price Tag,All Of The Lights,Just The Way You Are,Angel,Today Is Your Day,Jolene,I Need A Doctor,Black Horse And The Cherry Tree,The Cave,See No More,Monster,I Won't Let Go,Pause,Bleed Red,Somewhere Else,Judas,Bow Chicka Wow Wow,Bang Bang Bang,Not Over You,You,Did It On'em,Teenage Daughters,Grenade,International Love,Like My Mother Does,Colder Weather,1+1,Danza Kuduro,Cat Daddy,Sing,It Feels So Good,Light Up The World,Pretending,For Good,Rise Above 1,What The Hell,Marry The Night,"I Love New York / New York, New York",Live A Little,As Long As You're There,I Do,Rope,Hair,Moment 4 Life,A Little Bit Stronger,Pure Imagination,I Can't Love You Back,Back To Black,9 Piece,Boyfriend,My Man,Look It Up,Bring It Back,Jack Sparrow,Love Faces
2011-05-01,0,46,0,13,7,31,31,11,8,54,76,54,15,0,32,3,37,0,0,37,20,82,27,3,1,16,27,10,100,1,33,74,6,82,0,11,73,49,71,0,72,42,37,0,15,14,6,84,64,87,27,75,48,37,1,0,0,39,0,9,0,2,62,89,8,64,10,62,16,73,5,74,74,0,0,93,8,0,0,0,11,5,77,11,66,7,100,58,76,0,79,100,0,88,0,45,4,60,37,47,68,94,93,46,42,14,8,8,80,13,39,100,35,90,25,87,83,3,9,80,60,0,5,52,75,59,11,49,89,19,92,98,98,53,79,21,80,100,12,85,79,14,3,87,80,0,31,14,95,3,98,5,32,10,25,0,88,0,78,56,98,46,22,4,93,40,16,89,85,100,100,94,4,58,92,56,94,1,85,64,64,68,50,22,91,79,26,97,62,67,94,26,1,91,100,41,71,96,19,3,14,94,0,100,4,0,48,0,96,77,84,59,88,4,97,3,34,78,81,71,80,10,97
2011-05-02,0,33,0,11,7,27,28,8,5,57,69,41,49,0,22,3,27,0,0,25,7,91,17,13,2,18,22,19,74,0,100,69,5,54,0,13,54,49,55,0,69,28,36,0,13,37,9,58,63,72,23,52,41,22,2,0,1,30,0,7,3,2,46,72,9,72,12,57,22,51,0,69,70,6,0,96,7,0,3,0,10,5,70,9,0,3,78,61,63,3,79,80,0,79,0,42,5,55,39,41,47,75,25,59,34,18,32,4,67,3,41,92,32,62,23,88,57,1,8,60,23,0,5,56,70,60,12,52,68,12,78,71,96,33,69,11,74,65,14,73,84,21,5,69,100,1,24,18,72,1,75,0,17,8,17,0,64,0,85,39,71,33,18,3,60,39,18,70,66,76,75,82,3,42,78,22,76,0,74,54,73,66,81,20,74,62,41,83,0,24,78,26,0,80,69,30,70,76,14,2,12,86,0,69,2,0,70,0,87,75,75,57,65,6,94,1,34,60,58,68,57,9,53
2011-05-03,0,36,0,9,6,26,24,6,5,59,61,44,28,0,19,3,26,0,0,31,15,98,22,41,1,14,28,27,67,0,77,65,5,57,0,12,58,61,60,0,64,43,45,0,18,84,16,49,62,81,22,55,39,46,0,0,1,28,0,5,6,61,40,74,9,72,19,61,26,53,4,49,76,19,0,98,9,0,11,0,9,5,69,12,0,7,80,50,68,1,74,73,0,77,0,41,3,64,36,55,45,81,71,80,34,20,19,0,72,7,40,87,31,73,22,93,62,2,10,69,30,76,4,57,73,58,13,53,70,14,71,73,92,30,67,11,77,68,9,71,84,21,2,71,53,0,28,21,68,1,79,7,23,3,18,1,69,0,90,40,78,32,21,2,88,54,17,50,61,70,72,85,6,43,72,57,75,1,75,55,80,82,49,19,78,64,32,81,0,14,78,28,1,70,62,32,75,82,21,1,12,90,0,69,3,0,87,0,88,81,81,54,72,6,69,2,25,60,71,60,50,10,89
2011-05-04,0,39,0,11,7,27,28,8,6,63,66,58,24,0,25,3,23,0,0,31,19,100,22,46,3,14,35,40,64,0,71,67,8,60,0,13,61,53,60,0,79,41,34,0,13,90,14,57,55,84,24,40,45,30,1,0,2,41,1,9,9,71,36,74,0,67,10,60,24,59,0,94,73,0,0,97,7,0,20,0,9,5,68,14,52,2,72,55,69,1,76,75,0,78,0,42,2,63,40,53,44,79,54,57,35,54,39,2,69,0,44,88,30,73,25,95,58,6,11,57,46,0,4,58,75,41,17,51,74,13,76,74,96,29,76,19,83,67,12,75,88,53,5,69,32,0,29,22,67,2,78,7,22,3,18,0,55,1,88,41,72,33,23,3,49,67,15,64,66,78,71,87,6,80,66,29,87,1,77,52,97,87,57,19,71,66,27,86,0,62,76,25,0,77,61,32,85,86,14,6,13,91,0,81,2,0,52,0,94,79,85,62,81,5,100,2,37,58,76,78,63,11,90
2011-05-05,0,39,0,35,5,29,28,9,6,59,64,55,24,0,28,4,27,0,0,34,19,90,23,38,0,14,19,36,76,0,70,69,6,63,0,14,65,58,62,0,65,40,39,0,16,90,5,57,67,86,25,50,39,32,1,0,5,36,0,6,3,68,40,75,6,75,10,65,18,57,8,65,76,13,0,94,7,0,11,0,8,5,72,9,26,6,76,50,64,2,78,79,0,76,0,46,2,55,19,39,50,78,100,48,37,77,33,6,71,0,27,86,29,72,22,96,62,7,11,79,32,0,5,56,75,57,10,53,76,14,80,79,96,32,83,21,79,76,11,99,80,22,5,73,24,1,29,26,59,0,79,12,21,5,21,1,66,0,88,36,83,38,20,2,91,68,15,61,70,68,71,87,6,67,71,15,77,1,78,53,82,60,40,58,74,75,30,85,0,34,79,22,0,71,60,33,75,92,11,1,15,92,0,75,2,0,84,0,90,76,81,55,62,4,51,2,33,60,77,54,77,13,87
2011-05-06,0,49,0,79,6,27,31,9,5,57,78,56,23,1,24,3,37,0,0,30,18,84,22,100,3,23,25,46,72,1,56,71,6,69,0,13,84,56,59,0,71,37,33,0,12,100,10,62,67,78,23,62,48,27,1,0,7,43,0,12,13,64,42,81,0,81,15,60,14,59,8,65,72,0,0,83,8,0,9,0,10,4,74,13,0,6,73,53,71,6,82,79,0,81,0,42,7,59,27,44,39,85,82,93,33,71,28,2,72,11,40,82,32,65,28,91,65,10,18,66,34,84,4,59,74,61,13,59,70,13,82,81,92,29,74,20,75,78,15,77,75,69,4,67,22,0,35,31,77,3,84,0,23,11,27,0,69,0,88,45,91,42,23,2,59,47,13,83,78,73,78,88,7,56,77,24,81,1,79,59,88,64,100,100,69,93,42,85,52,67,81,33,1,80,64,36,87,85,16,4,13,86,0,91,3,0,92,0,88,83,84,65,68,5,49,2,28,64,76,62,69,14,100
2011-05-07,0,59,0,93,8,32,43,10,7,69,93,65,16,2,28,2,30,0,0,27,18,71,33,54,1,20,24,40,95,1,62,64,4,89,0,10,100,60,65,0,93,73,44,0,16,96,3,77,68,92,26,69,58,24,1,0,11,47,2,5,15,53,55,91,4,84,10,65,16,72,0,72,71,17,0,86,8,0,22,0,12,4,78,17,0,4,83,55,74,4,72,89,0,85,0,50,4,73,51,46,47,100,42,39,42,73,25,0,83,4,41,80,36,94,24,88,76,10,20,66,40,0,5,60,75,63,14,52,88,16,94,95,86,40,91,18,84,97,16,86,74,14,6,99,18,0,41,23,100,2,93,5,24,3,24,0,69,3,81,52,98,49,29,0,67,36,17,56,83,88,89,96,6,68,94,28,80,2,89,59,72,100,46,72,76,87,27,98,62,68,100,18,0,100,71,54,98,100,26,1,10,90,0,100,4,0,77,0,89,76,90,83,80,3,65,3,34,68,85,64,68,18,87
2011-05-08,0,56,0,84,6,35,45,9,8,59,84,63,19,12,25,3,30,0,0,32,23,78,32,53,3,16,40,39,100,0,52,68,3,89,0,14,86,69,66,0,78,67,37,1,16,76,21,72,57,94,31,85,48,34,4,0,8,35,0,2,11,45,55,90,27,85,23,70,15,69,5,80,75,0,0,95,10,0,22,0,13,4,75,12,0,5,97,49,78,0,73,87,0,90,0,48,10,69,47,63,39,94,70,79,43,68,42,8,81,13,48,83,34,89,24,97,79,8,15,68,100,100,4,64,79,46,16,45,81,14,84,97,97,42,97,17,87,81,10,88,80,41,2,83,20,0,24,28,90,1,93,10,26,10,24,2,82,2,75,59,95,55,31,0,86,61,20,77,85,90,83,97,8,47,93,28,96,1,94,67,78,37,73,58,100,86,42,98,0,86,89,20,0,98,78,56,81,96,14,3,15,92,0,90,5,0,48,0,98,86,79,100,87,7,65,2,33,74,94,76,62,47,77
2011-05-09,0,41,0,65,6,27,34,10,6,59,59,48,22,68,25,4,31,0,0,41,20,98,25,45,4,29,33,35,72,0,47,66,5,72,0,13,59,54,56,0,62,52,32,0,14,57,12,59,56,85,23,54,39,42,3,0,10,56,1,18,9,48,35,72,6,72,10,55,25,62,11,84,73,6,0,94,7,0,19,0,60,3,69,15,26,2,79,46,70,2,87,80,0,80,0,41,3,60,25,25,41,79,65,71,40,48,52,4,71,7,49,87,31,67,25,93,51,6,15,58,46,0,4,49,78,54,13,43,71,11,82,67,95,31,70,16,84,73,9,75,89,31,5,69,18,0,22,14,69,0,78,4,20,10,24,0,72,1,92,44,76,39,19,0,66,23,15,70,62,68,63,88,8,54,67,29,69,1,82,91,81,63,53,44,66,70,29,80,95,38,67,25,0,74,65,42,67,84,22,3,7,90,0,74,4,0,92,0,92,82,78,47,54,6,80,2,38,59,73,64,61,54,73
2011-05-10,0,38,0,63,6,27,41,7,7,60,65,54,24,100,26,2,29,0,0,34,35,97,27,41,2,19,41,26,63,0,52,65,15,68,0,13,63,65,55,0,65,52,42,0,16,72,12,55,71,86,23,50,48,43,2,0,7,49,0,5,6,34,39,73,3,74,16,62,18,56,4,63,76,6,0,95,8,0,22,0,92,5,67,10,26,16,77,54,69,3,81,79,0,83,0,45,2,67,14,48,46,78,54,67,30,40,26,4,72,10,39,86,55,71,21,97,56,19,17,57,23,77,4,54,70,58,13,42,68,11,83,69,97,33,67,14,88,69,14,81,83,11,3,70,14,0,33,18,64,2,82,0,18,10,15,0,68,1,92,49,71,38,19,2,55,39,19,70,68,76,61,86,12,51,75,29,79,1,84,61,91,61,46,38,74,68,39,82,0,52,70,28,0,56,62,42,72,82,36,19,6,96,0,79,4,0,70,0,95,79,82,55,63,3,55,2,50,59,75,61,62,71,77
