date,Whistle,Lights,Call Me Maybe,Wide Awake,Payphone,Somebody That I Used To Know,Titanium,Some Nights,Home,Where Have You Been,Blow Me One Last Kiss,As Long As You Love Me,Good Time,Want U Back,One More Night,Give Your Heart A Break,Everybody Talks,Scream,Let's Go,Mercy,Too Close,Pontoon,I Will Wait,We Are Young,What Makes You Beautiful,No Lie,I Won't Give Up,Starships,Pound The Alarm,Wild Ones,We Run The Night,Come Over,Angel Eyes,Wanted,"Work Hard, Play Hard",Drive By,Glad You Came,Blown Away,Kissed You Good Night,Take A Little Ride,Stronger What Doesn't Kill You,Dark Side,Heart Attack,Tongue Tied,Over,Lemme See,Cashin' Out,Drunk On You,Ho Hey,Chasing The Sun,Little Talks,Time Is Love,Don't Wake Me Up,50 Ways To Say Goodbye,Settle Down,Why Ya Wanna,Amen,She's So Mean,5 1 5 0,Boyfriend,2 Reasons,Truck Yeah,Burn It Down,One Thing,Postcard From Paris,Hard To Love,Cowboys And Angels,Bag Of Money,For You,Pop That,Both Of Us,We Are Never Ever Getting Back Together,The Fighter,The Wind,Back In Time,Take It To The Head,Adorn,Nobody's Perfect,It's Time,Snap Backs & Tattoos,Fastest Girl In Town,Thinkin Bout You,Beez In The Trap,Come Wake Me Up,The A Team,My Homies Still,Glass,That's Why I Pray,Turn On The Lights,Lovin' You Is Fun,Enough Of No Love,Neon,The One That Got Away,Wanted You More,Swimming Pools Drank,Promises,Let Me Love You Until You Learn To Love Yourself,Radioactive,Gold On The Ceiling,Oh Love,Feel So Close,Brokenhearted,New Day,Diced Pineapples,Dance Again,Crew Love,Something To Do With My Hands,Even If It Breaks Your Heart,Springsteen,Leave You Alone,Beers Ago,Runaways,New God Flow,Birthday Song,Go Get It,hyfr,Bangarang,How We Do Party,Midnight City,Part Of Me,The Motto,Get It Started,Right By My Side,UP,Drank In My Cup,Take Care,Party Rock Anthem,Climax,You Don't Know Her Like I Do,Good Girl,I Wish You Would,Fly Over States,Birthday Cake,Ayy Ladies,We Found Love,Wipe Your Eyes,Lost In The Echo,All Around The World,Windows Down,Turn Up The Music,Somethin' 'Bout A Truck,Set Fire To The Rain,Beauty And A Beat,No Hurry,Right Here,Ai Se Eu Te Pego,So Good,Rumour Has It,Faded,Sexy And I Know It,Eyes Open,Good Feeling,Get Low,Die In Your Arms,Shadow Days,Fine By Me,Same Damn Time,Banjo,Turn Me On,Better Than I Used To Be,Over You,I'm All Yours,Tonight Best You Ever Had,Drink On It,Moves Like Jagger,Around My Way Freedom Ain't Free,Undefeated,We've Got Tonight,Got My Country On,"Young, Wild & Free",Paradise,Ass Back Home,Feel Like A Rock Star,Dancin' Away With My Heart
2012-05-01,32,78,39,2,42,90,90,10,91,100,0,1,43,39,5,89,44,21,79,80,70,34,8,81,79,53,79,71,4,83,61,32,61,89,31,86,88,68,0,0,61,56,73,29,74,90,90,50,26,42,47,68,5,3,7,48,39,0,69,49,22,0,41,81,18,51,53,19,100,17,45,0,56,90,40,26,29,56,100,0,2,36,81,0,69,0,74,0,33,29,0,92,93,11,0,56,0,78,47,24,74,54,74,0,72,76,25,56,40,93,51,14,0,37,49,93,74,33,45,76,87,8,9,79,100,89,56,100,81,91,12,100,99,100,79,3,1,9,48,83,58,70,0,45,52,83,98,67,95,75,98,90,73,1,100,53,52,86,78,67,96,24,77,93,78,0,25,0,44,50,95,80,44,100
2012-05-02,32,69,34,1,38,82,83,9,87,61,0,1,42,37,5,68,30,33,75,72,62,28,6,74,72,100,70,60,3,64,55,30,55,77,64,81,73,57,0,0,55,45,67,34,66,34,58,50,16,37,31,71,2,1,7,21,52,0,71,45,14,0,35,73,14,42,22,30,91,15,54,0,45,74,39,24,20,57,71,0,2,15,69,10,70,0,67,0,24,16,0,86,91,17,0,52,0,74,39,22,68,54,62,0,56,65,40,58,33,82,59,12,0,31,47,78,72,8,51,65,96,4,11,71,81,80,53,84,27,83,13,51,86,71,70,13,1,8,43,64,36,49,0,48,40,59,84,42,76,67,97,74,55,1,74,53,71,70,63,61,85,17,100,82,72,0,22,0,63,46,83,70,79,34
2012-05-03,31,70,36,2,43,85,79,10,85,60,0,1,37,29,4,80,30,100,56,71,64,26,5,77,75,73,69,62,4,66,71,29,71,77,56,83,74,35,14,0,38,49,62,30,67,35,58,53,18,30,37,55,3,4,8,44,46,0,60,52,12,0,32,75,12,38,32,35,92,15,56,0,41,70,45,29,18,49,90,0,0,21,76,6,73,0,71,0,27,32,1,89,77,10,0,63,0,69,58,19,71,44,61,0,60,68,41,42,42,72,37,11,0,37,45,80,73,4,59,62,98,7,10,74,87,83,55,84,56,73,8,63,89,88,65,8,2,9,47,77,60,58,1,61,42,63,87,66,80,72,99,78,63,0,67,56,75,71,73,50,87,9,51,61,69,0,18,0,40,35,86,78,0,69
2012-05-04,33,67,38,2,39,86,79,11,85,65,0,1,35,38,6,75,25,45,60,65,69,31,10,74,88,57,64,67,4,79,58,31,66,73,57,84,71,97,0,0,58,52,68,25,62,21,77,39,20,33,46,64,6,4,8,28,37,0,58,100,8,0,39,81,20,34,47,34,86,18,38,0,42,73,45,38,15,49,86,0,2,32,83,10,61,0,67,0,27,27,1,84,95,8,0,59,0,59,49,20,76,54,55,0,65,58,32,69,34,84,37,10,0,41,42,83,76,13,50,65,100,4,9,72,87,83,69,82,19,78,6,51,92,61,73,3,0,8,48,79,47,60,0,54,46,71,87,54,80,71,81,86,59,0,34,44,69,73,68,76,83,22,72,100,74,0,28,0,57,12,85,60,82,12
2012-05-05,40,76,45,2,51,100,93,11,84,77,0,2,39,43,7,89,30,36,69,67,81,34,6,97,100,49,73,78,3,97,74,37,59,79,100,98,100,60,0,0,89,48,81,37,64,19,73,48,18,29,53,55,2,3,7,13,92,0,64,71,9,0,43,100,23,63,41,30,84,16,31,0,70,75,47,39,22,31,72,0,3,37,96,7,68,0,64,0,33,44,0,91,99,2,0,55,0,54,49,29,93,73,55,0,84,79,32,54,41,74,65,27,0,44,42,97,72,20,59,85,96,5,10,77,100,100,81,88,33,100,10,72,91,81,100,0,1,9,40,100,58,74,0,63,53,100,90,48,76,96,92,93,61,0,62,51,65,86,90,77,91,21,96,72,100,0,28,0,57,83,94,100,0,96
2012-05-06,37,75,44,1,51,93,88,10,85,76,0,2,42,36,7,99,38,31,81,60,100,37,8,88,92,42,69,79,3,93,84,30,59,84,88,100,84,37,0,2,55,69,72,21,65,21,56,70,29,28,48,83,5,8,9,32,68,0,85,65,10,0,39,80,23,46,48,27,86,16,26,0,69,87,43,26,13,80,66,0,0,18,75,2,74,0,62,0,32,43,0,91,96,12,0,65,0,56,55,28,100,76,61,0,74,69,11,42,35,74,74,22,0,38,34,77,100,15,47,77,94,4,9,78,81,97,77,93,33,89,12,76,96,91,84,12,1,10,48,85,43,73,0,58,49,85,100,76,78,82,93,100,58,1,44,59,49,86,90,87,96,41,95,86,75,0,34,0,28,27,91,98,47,54
2012-05-07,33,70,34,2,44,77,81,9,89,56,0,1,44,32,6,77,35,22,59,69,72,39,9,69,69,41,72,61,3,69,58,30,45,80,54,81,79,38,26,1,91,55,70,26,67,19,77,46,19,28,44,63,4,2,8,37,61,0,82,51,13,0,36,72,16,42,44,26,90,16,29,0,62,74,41,25,15,47,87,0,6,32,71,4,69,0,74,0,23,20,0,86,72,20,0,62,0,69,41,22,73,50,62,0,59,56,35,74,32,100,50,12,0,34,42,74,54,21,41,58,79,5,8,71,65,82,47,76,9,75,10,48,90,81,58,0,1,10,54,56,65,52,0,29,40,57,73,48,63,63,82,70,66,0,44,42,66,59,62,66,85,21,78,56,68,0,28,0,39,45,82,59,39,44
2012-05-08,34,71,41,3,47,85,80,9,89,52,0,1,40,27,5,83,29,23,66,64,73,32,7,76,76,54,65,65,4,73,52,28,66,75,55,85,70,33,13,0,56,52,73,22,67,16,71,45,30,22,39,66,1,6,7,48,59,0,87,52,15,2,29,81,42,45,50,18,96,14,25,0,44,77,38,24,21,22,75,0,0,23,68,4,79,0,70,0,34,31,0,96,74,15,0,62,0,74,51,20,83,67,61,0,65,86,27,56,31,82,57,17,0,34,49,68,55,8,40,59,81,6,11,74,96,92,57,84,46,74,10,60,92,83,67,0,1,7,45,70,52,52,2,30,44,58,84,41,70,67,79,78,55,1,43,35,59,74,69,58,88,17,90,74,80,0,17,0,55,34,87,57,20,57
2012-05-09,38,70,43,3,49,79,81,9,87,55,0,1,37,28,6,69,30,22,66,71,71,30,6,70,82,47,68,67,3,80,55,33,65,77,28,70,76,30,27,0,37,53,67,22,67,14,65,37,22,19,39,68,3,1,5,59,57,0,59,52,19,0,39,74,14,37,28,24,94,18,18,0,47,71,37,26,22,41,76,0,0,23,76,6,73,0,71,0,26,10,1,86,86,100,0,52,0,82,60,18,63,59,64,0,60,76,40,66,32,98,41,16,0,33,58,91,70,21,46,56,82,5,10,73,81,83,62,80,64,68,5,64,100,53,63,10,2,6,40,83,32,59,0,44,44,62,85,41,82,60,90,68,55,0,39,48,50,66,73,52,85,13,20,54,64,0,21,3,24,46,89,59,0,56
2012-05-10,38,70,45,3,60,81,80,9,85,54,0,1,42,15,6,70,32,20,59,69,66,32,5,77,78,37,71,59,1,76,53,25,64,78,28,81,82,42,0,0,56,56,61,22,67,16,64,45,19,26,49,64,1,3,8,27,54,0,91,53,15,2,31,77,19,50,55,21,92,18,26,0,42,72,43,37,16,39,66,0,0,21,65,6,75,0,70,0,24,37,0,89,77,38,0,56,0,77,55,24,63,62,57,0,67,80,45,53,33,68,44,14,0,33,52,88,58,21,51,58,81,7,8,75,90,79,58,81,56,69,7,62,87,73,66,5,1,7,49,72,39,59,0,64,48,55,81,44,80,62,87,73,51,0,40,36,51,73,68,89,81,26,10,63,72,0,27,3,64,69,85,77,40,23
2012-05-11,37,70,47,2,61,82,82,12,84,57,0,2,41,21,5,72,39,20,72,68,67,36,8,84,80,31,73,67,3,79,72,32,54,75,19,88,83,32,0,0,98,61,62,48,65,17,64,50,21,31,48,65,10,4,7,17,48,6,82,55,10,0,40,76,15,43,33,19,86,13,24,0,47,74,40,30,16,50,69,44,0,13,79,16,71,0,67,10,30,33,0,84,76,26,0,54,0,61,54,30,63,68,59,0,96,76,14,45,34,73,52,13,0,37,48,85,70,53,41,60,84,3,9,73,84,85,64,80,29,72,12,67,90,65,75,5,1,7,40,88,65,59,0,39,52,61,73,42,86,70,85,77,56,0,50,64,51,78,70,80,82,9,53,52,70,0,24,0,100,12,86,64,42,36
2012-05-12,45,76,57,3,79,97,92,12,86,73,0,1,42,34,7,94,44,26,84,68,78,35,6,96,100,37,87,89,4,100,73,31,71,86,35,100,92,29,17,0,46,55,58,43,62,20,58,67,36,31,66,67,18,4,10,27,51,0,70,60,8,2,47,94,38,48,39,24,90,15,27,0,71,77,56,33,12,60,88,52,0,38,82,7,63,0,64,0,35,39,1,89,100,28,0,77,0,44,66,22,83,66,67,0,100,80,33,68,41,76,80,16,0,35,41,97,98,37,50,72,100,3,9,80,85,90,100,88,34,83,8,67,87,68,90,9,2,10,49,99,65,95,0,60,51,77,95,61,95,100,94,88,70,1,52,60,67,99,100,68,89,21,100,71,97,0,29,0,49,100,95,78,0,85
2012-05-13,42,77,50,2,82,94,83,13,82,71,0,1,40,20,7,86,40,25,79,63,90,41,5,90,95,33,84,80,3,92,94,31,67,79,11,99,89,22,0,0,57,52,59,36,66,16,59,54,26,35,63,82,23,5,9,20,46,0,84,59,9,0,45,86,17,34,50,25,91,16,26,0,64,79,63,20,21,66,75,0,5,53,75,0,78,0,65,12,29,13,0,88,98,18,0,72,0,54,65,30,80,82,70,0,83,70,33,65,49,77,69,18,0,35,40,100,59,47,55,71,86,2,8,79,65,99,75,91,34,82,13,76,79,89,79,3,0,8,55,79,73,69,0,64,54,72,89,62,94,86,85,82,66,0,48,68,57,84,81,93,96,21,37,46,89,0,25,4,78,42,95,65,73,28
2012-05-14,35,70,38,2,64,76,74,11,87,51,0,1,38,22,5,74,35,21,59,66,67,39,5,73,70,30,66,59,3,65,58,38,48,71,36,75,73,24,13,0,36,58,64,24,65,16,61,47,21,25,42,71,24,3,9,31,45,0,76,47,21,2,35,76,16,44,53,22,90,13,23,0,65,68,50,25,20,46,82,0,0,20,57,4,79,0,70,0,31,30,0,86,58,10,0,58,0,75,48,23,62,65,55,0,72,54,39,57,47,63,80,12,0,33,43,71,69,37,49,51,75,5,12,71,71,82,56,80,63,75,7,44,76,62,60,2,2,6,42,69,64,53,0,22,48,55,75,34,73,76,81,65,51,0,48,50,47,77,52,47,79,21,49,60,70,0,26,3,61,67,79,55,19,33
2012-05-15,36,70,39,3,60,74,78,14,87,58,0,1,42,19,4,69,34,21,73,64,77,37,9,78,74,26,67,65,2,59,48,65,57,69,45,81,74,24,26,0,100,47,67,38,66,21,61,52,33,28,45,62,26,5,8,58,46,0,67,48,15,2,38,73,21,48,47,20,93,13,22,0,58,79,50,32,21,40,73,0,4,27,66,4,67,0,69,0,24,25,1,87,79,15,0,63,0,62,55,24,60,49,53,0,71,72,31,75,41,62,53,10,0,28,51,73,62,41,46,53,80,4,11,72,65,81,54,84,45,69,10,67,84,59,58,7,2,8,50,63,60,60,0,40,45,55,75,52,64,81,80,64,67,0,62,70,53,76,59,86,78,25,49,51,59,28,22,0,39,78,84,70,0,55
2012-05-16,37,69,43,3,57,74,78,12,85,55,0,2,39,22,6,74,31,19,81,64,64,30,5,85,72,26,88,69,2,82,72,54,58,72,0,74,69,22,13,0,28,50,67,97,64,11,67,43,24,22,41,85,14,4,7,64,45,0,49,50,15,2,38,68,21,38,45,23,93,15,24,0,46,78,51,27,19,19,70,0,0,33,67,0,74,0,73,0,30,46,0,85,78,7,0,56,0,71,65,23,54,58,54,0,71,62,31,66,39,72,56,11,0,32,48,85,66,46,46,56,72,7,29,71,81,80,53,82,27,73,6,92,84,71,60,5,1,5,56,64,63,61,0,52,45,53,76,54,73,71,81,72,51,1,69,64,43,70,67,69,78,30,50,34,64,14,15,0,78,11,86,58,0,34
2012-05-17,41,72,50,3,61,85,80,13,85,57,0,1,40,21,7,81,44,20,69,66,61,33,4,83,74,25,94,74,4,69,61,42,53,71,28,74,62,24,28,0,38,53,66,100,66,17,77,57,34,31,53,55,14,4,7,44,48,0,96,48,9,0,42,79,22,42,48,23,92,15,25,0,48,79,54,25,16,52,89,0,2,24,63,12,77,0,67,0,30,32,0,88,75,12,0,56,0,67,56,22,57,41,54,0,74,55,51,46,43,76,72,18,0,32,51,73,62,22,59,59,81,5,100,76,76,82,57,79,38,71,4,64,91,76,56,5,2,10,44,76,40,59,0,80,40,60,80,54,73,77,89,73,55,0,50,62,100,72,66,69,82,22,10,54,72,0,23,100,49,35,89,65,41,23
2012-05-18,38,70,51,3,63,81,83,15,82,61,0,1,42,28,7,73,44,21,79,66,70,40,5,86,82,23,80,76,3,76,67,42,67,73,29,83,75,22,28,0,69,52,60,69,64,20,56,65,28,33,55,68,12,4,9,23,45,0,66,48,12,0,45,78,18,28,31,29,88,17,24,0,49,76,53,30,14,64,88,0,0,35,87,10,65,0,66,0,31,22,0,87,80,9,0,55,0,63,54,23,70,79,51,0,77,67,38,50,53,70,71,17,0,36,42,83,74,40,45,63,84,7,65,75,71,85,63,73,49,73,4,76,89,69,70,5,1,10,44,76,53,58,0,83,53,60,79,46,81,78,88,80,50,0,57,47,81,79,67,84,79,14,64,53,71,0,16,88,50,85,89,53,21,36
2012-05-19,47,76,60,4,72,94,87,11,84,69,0,1,45,22,7,93,36,24,66,72,76,45,8,100,96,31,100,100,4,93,74,40,76,77,35,98,90,20,34,1,70,62,61,79,64,10,84,72,21,41,49,75,9,4,8,41,50,0,63,56,7,0,39,95,18,46,49,28,84,17,29,0,67,82,59,33,20,52,80,0,0,38,82,7,78,0,62,0,34,33,0,87,80,24,0,57,0,48,55,23,69,79,52,0,85,74,22,66,46,99,52,20,0,30,57,71,71,53,71,78,85,6,63,81,86,92,84,84,58,87,9,72,77,63,81,0,1,7,61,73,100,66,0,42,45,76,85,67,100,91,89,85,60,1,55,60,82,80,77,76,85,16,63,44,96,37,24,44,30,29,100,71,100,14
