date,Senorita,Bad Guy,Truth Hurts,Old Town Road,Ran$om,Talk,No Guidance,I Don't Care,Goodbyes,If I Can't Have You,Someone You Loved,Sucker,Money In The Grave,You Need To Calm Down,Sunflower (Spider Man: Into The Spider Verse),The Git Up,Suge,Beautiful People,Lover,Boyfriend,The London,Hot Girl Summer,Dancing With A Stranger,Baby,Beer Never Broke My Heart,Hot,Pop Out,"Hey Look Ma, I Made It",Wow ,Without Me,Speechless,Bad Bad Bad,Motivation,Knockin' Boots,My Type,How Do You Sleep?,7 Rings,Panini,Cash Shit,Rearview Town,God's Country,Trampoline,All To Myself,Whiskey Glasses,Shotta Flow,Only Human,Slide Away,Otro Trago,One Thing Right,China,The Ones That Didn't Make It Back Home,Clout,Queen Of Mean,Easier,What's The Move,Callaita,On Chill,ME,I Don't Know About You,Just How It Is,Surf,Call You Mine,Go Loko,Lalala,Never Really Over,Raised On Country,Living,Press,Time,Sup Mate,Southbound,Hate Me,No Me Conoce,Love You Too Late,Won't Be Late,It's You,Tip Of My Tongue,Heartless,Ballin',Prayed For You,Soltera,Light It Up,Juicy,Lil Baby,Right Back,EARFQUAKE,F N,Buy My Own Drinks,Mac 10,What Happens In A Small Town,Some Of It,Ecstasy,What If I Never Get Over You,Uno,Daddy,We Were,Baby Sitter,Takeaway,Every Little Thing,Did It Again,Happier,Sweet But Psycho,Better,Going Bad,Talk You Out Of It,Gold Roses,Just Us,Small Talk,Night Falls,Snake Skin,24/7,Love Ain't,Sanguine Paradise,Rodeo,Tap,La La Land,Que Pretendes,Single Again,Worth It,Shallow,Trust Issues,How About Now,The Motion,Dreams Money Can Buy,Hot Shower,Club Paradise,Antisocial,Fear Inoculum,Days In The East,Before I Let Go,High Hopes,Sicko Mode,Cross Me,The Archer,Leave Me Alone,The Search,Baguettes In The Face,MEGATRON,All Day Long,Do You Remember,Calma,Cool,Nightmare,Rumor,Act Up,GIRL,Con Calma,Middle Child,Brown Skin Girl,Under The Sun,Mood 4 Eva,Wish Wish,South Of The Border,Pure Water,Remember The Name,Walk Me Home,Look What God Gave Her,BLOW,Like A Rodeo,Spirit,Best Part Of Me,Wake Up,Eastside,Look Back At It,Down Bad,Good As You,Costa Rica,Out The Mud,Girls Need Love,Mother's Daughter,Ocean Eyes,Higher Love,Don't Check On Me,Homicide,Please Me,When I Grow Up,Eyes On You,Bacc At It Again,"Break Up With Your Girlfriend, I'm Bored",Here With Me,Love Someone,Big Ole Freak,You Stay,Baila Baila Baila,Omerta,Summer Days,When The Party's Over,Envy Me,Miss Me More,Sanctuary,Rescue Me,Te Robare,Robbery,Racks In The Middle,Beautiful Crazy,Close Friends,Bury A Friend,Even Though I'm Leaving,Put A Date On It,Heaven,Please Tell Me,On My Way To You,Amor Genuino,XanaX Damage,Government Official,Murder On My Mind,Isis,Boy With Luv,Shut Up About Politics,Under Enemy Arms,Night Shift,A Lot,Thotiana,Higher,Who Do You Love,Don't Call Me Up,Earth,Juice,HP,Mixed Personalities,Paradise,Triggered,Girls Like You,I Think,Celebrate,Jealous,Running Out Of Time,Igor's Theme,New Magic Wand,A Boy Is A Gun,What's Good,Puppet,Weather The Storm,Here Tonight
2019-05-01,2,49,29,61,0,94,0,10,12,8,44,66,0,0,48,1,30,14,22,52,82,0,100,51,4,84,63,0,18,69,17,87,80,38,52,24,89,64,5,19,55,68,79,43,30,53,1,19,7,83,43,63,5,67,19,0,33,72,56,79,62,7,0,15,0,35,100,74,87,0,57,54,4,38,0,98,8,50,33,7,32,100,64,44,94,0,90,34,79,12,93,79,3,69,54,85,60,46,100,57,89,93,89,96,39,3,83,12,16,86,53,64,100,45,89,69,1,3,93,13,19,74,93,2,31,42,33,0,14,95,75,89,31,4,39,93,0,5,45,53,96,83,45,66,100,88,91,31,0,25,0,81,9,100,6,77,44,72,0,77,4,84,100,74,22,96,15,13,79,3,76,13,1,24,86,15,36,9,0,96,88,69,78,78,3,28,37,69,39,67,53,82,86,100,69,81,85,0,62,64,66,86,0,2,66,100,91,86,0,0,96,95,86,80,96,70,71,78,82,100,42,23,96,85,69,71,15,0,0,1,88,72,17,66
2019-05-02,2,45,22,61,0,91,0,8,15,12,45,100,0,0,22,0,28,10,19,52,79,0,73,49,4,82,58,100,16,100,60,88,86,34,53,0,99,59,3,32,38,53,50,57,26,61,0,24,7,82,0,89,3,62,5,0,19,68,26,84,54,3,1,15,1,33,95,73,86,3,32,54,3,15,0,83,12,52,32,14,27,87,60,47,77,0,88,0,66,0,92,68,1,73,51,95,75,49,63,65,99,91,82,95,77,3,76,19,16,62,45,68,74,43,87,62,0,3,80,11,20,77,98,1,34,46,38,0,15,81,98,100,31,3,32,98,0,5,41,44,76,86,39,64,93,80,73,30,0,27,0,71,7,81,5,87,46,69,0,74,6,83,86,64,26,82,15,14,69,4,75,12,0,32,92,20,43,52,0,79,85,86,80,67,3,22,100,70,46,60,46,79,62,88,88,76,96,0,47,60,59,91,0,0,65,89,85,100,0,3,89,92,92,78,91,56,67,74,89,57,40,24,96,93,55,69,8,0,0,0,99,83,20,42
2019-05-03,3,49,21,66,0,89,0,8,14,100,56,76,0,0,11,3,45,13,21,50,74,0,90,53,5,82,61,0,17,87,30,85,76,40,55,0,93,61,3,23,57,65,43,57,35,51,0,22,11,78,41,68,3,64,24,0,41,73,11,65,60,4,100,16,0,42,91,72,83,0,52,56,5,36,0,76,8,49,30,16,30,74,68,45,79,0,79,16,82,16,100,81,4,70,52,88,62,68,92,51,97,74,85,91,45,2,74,9,17,60,42,80,80,51,83,71,2,2,83,13,19,59,85,0,35,49,34,0,9,100,94,85,32,4,39,100,0,5,43,49,79,91,40,77,95,83,84,42,0,19,0,73,9,81,7,78,41,66,0,70,5,77,99,68,27,77,15,7,75,5,76,12,1,100,81,24,47,18,0,87,75,52,72,71,4,26,82,86,42,62,54,74,59,74,87,68,100,0,70,60,55,88,0,0,68,90,80,96,0,3,77,91,95,70,68,44,66,75,85,67,41,22,83,94,67,64,18,0,0,1,74,75,13,41
2019-05-04,2,52,24,71,0,84,0,9,17,55,48,81,0,0,13,1,38,11,22,55,68,1,86,58,3,92,67,0,18,97,28,86,60,54,42,0,100,73,2,50,59,98,42,54,18,49,0,27,5,73,0,67,2,50,9,0,35,86,58,51,63,10,81,20,0,18,86,52,95,0,52,58,6,28,1,67,14,55,40,20,31,78,75,40,81,0,66,18,71,0,61,68,1,66,55,76,66,89,41,69,97,94,77,97,62,2,73,15,18,56,48,73,65,54,83,69,1,4,86,14,9,44,66,1,39,45,30,0,8,91,84,91,35,5,35,94,0,6,37,51,98,49,47,73,94,89,92,42,0,47,0,76,5,85,6,100,48,74,0,74,2,84,73,64,27,66,14,12,85,5,86,10,1,69,81,15,42,10,0,83,91,64,70,84,4,25,73,86,35,66,48,92,56,86,100,88,97,0,47,67,58,94,0,0,38,86,69,95,0,0,77,82,100,54,100,48,54,81,79,62,41,17,100,83,49,74,9,0,2,0,82,73,23,45
2019-05-05,3,51,30,70,37,87,0,9,15,53,54,74,0,0,50,2,34,11,23,57,69,0,82,57,3,93,61,0,19,80,25,87,69,61,45,25,90,65,7,45,52,96,65,53,18,39,0,26,10,76,45,83,3,50,20,0,47,85,53,52,65,6,70,16,0,14,88,56,91,0,44,56,2,28,0,74,13,46,28,8,34,64,71,45,77,0,70,26,73,18,60,79,0,68,55,86,66,79,60,56,90,99,79,80,45,3,70,12,17,64,50,85,63,55,83,82,2,5,87,13,20,53,65,0,37,36,33,0,0,92,100,81,35,4,26,94,0,7,43,44,94,48,52,63,90,93,92,32,0,27,0,87,10,80,7,88,29,68,1,76,4,85,85,74,27,56,14,8,68,5,68,18,3,53,84,14,46,29,95,89,92,64,76,84,3,25,80,91,39,72,58,70,56,69,84,87,92,0,59,66,71,73,1,2,40,79,80,88,0,0,77,92,78,58,79,45,54,83,78,85,41,18,93,88,87,73,9,0,3,0,86,71,15,61
2019-05-06,2,45,29,54,0,89,0,8,13,42,47,67,1,0,11,2,34,10,20,51,67,0,69,70,3,75,62,0,16,64,20,88,87,30,58,0,67,62,0,13,60,62,57,33,18,49,0,26,2,81,0,54,3,59,15,0,29,68,26,71,56,2,74,14,0,29,92,71,100,3,34,54,3,40,1,78,7,48,33,13,34,86,57,40,83,0,84,8,76,21,99,76,5,76,47,81,64,59,41,62,84,81,82,81,66,4,66,13,19,63,45,33,89,43,81,63,0,3,78,11,18,70,95,1,32,40,35,0,6,61,63,63,29,3,30,95,0,5,44,40,66,71,38,70,93,78,60,35,0,26,0,74,8,71,6,66,33,63,1,67,3,83,74,58,26,77,16,7,73,6,72,10,1,45,90,16,42,9,85,73,85,62,75,69,4,23,54,83,42,62,47,63,49,74,74,66,72,0,47,55,72,67,0,0,64,87,79,75,0,3,82,96,70,75,76,46,61,73,88,86,35,23,70,85,69,62,8,2,0,1,84,75,7,40
2019-05-07,2,42,30,55,0,92,0,10,11,34,46,65,0,0,22,1,31,13,19,47,72,0,61,61,10,72,59,0,16,66,18,83,83,50,46,7,77,54,3,36,49,55,59,37,30,46,0,21,16,81,0,57,4,52,15,0,16,67,31,73,56,6,58,11,0,20,92,74,98,0,38,51,3,35,0,76,6,39,29,23,34,75,63,38,84,2,83,8,74,5,98,79,3,81,47,78,62,45,46,52,82,70,83,71,47,2,62,16,10,71,46,34,92,40,86,56,0,3,82,10,18,76,100,1,30,49,30,0,2,58,68,67,31,3,28,95,0,5,45,50,73,78,40,64,96,75,68,33,0,26,0,70,6,67,6,77,22,63,0,70,3,83,76,68,25,80,15,18,58,7,58,12,2,39,92,20,38,51,0,81,80,85,71,61,4,24,43,72,31,53,50,70,54,69,59,77,74,0,57,54,62,88,0,0,80,83,80,73,0,0,93,93,77,73,69,37,63,72,91,73,34,24,69,87,60,63,11,3,2,1,87,70,16,51
2019-05-08,2,42,32,62,0,94,0,12,15,32,49,65,0,0,34,1,27,12,19,44,75,0,65,100,100,72,67,25,16,69,23,82,82,50,47,8,76,58,0,36,35,58,86,49,33,48,1,24,11,83,40,57,3,53,15,0,30,68,47,85,56,3,55,12,0,29,91,73,87,0,44,49,1,35,0,82,7,54,35,19,36,69,59,44,94,5,75,0,88,16,97,73,2,82,48,86,66,48,73,45,85,80,82,96,40,4,64,18,13,82,47,63,68,38,90,63,2,3,82,11,22,74,96,1,35,48,32,0,9,68,74,72,27,3,26,100,0,6,39,52,78,83,38,65,88,75,76,28,0,16,0,75,6,68,5,66,25,69,4,72,5,85,79,69,27,97,16,8,66,8,71,12,0,37,92,12,45,61,0,82,83,68,78,70,3,23,59,88,35,61,47,65,54,53,78,72,82,0,100,53,72,84,0,0,100,78,70,70,0,0,73,95,87,97,95,65,69,71,89,72,37,100,80,92,56,68,24,2,2,0,90,76,16,59
2019-05-09,3,49,36,64,0,100,1,15,14,27,48,67,0,0,57,3,32,10,20,44,75,0,73,64,76,78,67,0,16,73,22,85,87,51,49,8,77,64,2,41,58,52,54,51,26,41,1,25,14,89,0,51,3,58,34,0,44,68,58,77,53,3,59,16,0,17,93,74,88,0,40,57,3,31,1,80,10,53,28,11,68,82,62,43,79,3,87,16,87,27,94,77,0,79,51,89,71,47,72,61,85,79,84,83,30,3,77,17,17,77,49,72,73,43,91,56,2,2,83,11,19,70,93,0,37,37,35,0,4,71,74,57,30,3,32,90,0,6,41,57,80,88,43,71,82,78,76,30,0,20,0,77,8,65,4,75,39,68,1,75,4,83,83,75,26,91,16,11,82,9,69,10,1,37,90,21,38,26,0,96,80,50,77,61,3,23,70,97,40,64,51,69,63,70,74,75,82,0,48,57,52,89,0,0,70,79,68,73,0,0,95,97,65,76,67,100,66,73,91,71,37,95,78,89,57,77,14,0,2,4,88,76,20,31
2019-05-10,3,48,31,68,0,97,0,100,11,28,48,63,0,0,12,2,36,13,21,45,71,0,75,55,42,76,63,0,17,70,23,85,73,35,53,16,87,63,2,28,68,58,48,64,23,44,0,28,4,98,0,48,2,54,22,0,29,75,22,65,57,7,40,16,0,17,87,70,84,3,58,56,2,37,0,75,7,56,58,11,100,74,65,49,88,2,79,16,63,28,96,86,1,71,54,84,56,73,38,77,94,82,83,84,42,3,66,11,17,66,47,77,47,44,88,64,1,7,83,12,16,89,84,0,33,48,29,0,15,76,80,77,33,4,32,66,0,9,35,51,91,94,49,63,96,79,89,33,0,19,0,71,7,81,6,68,45,70,1,69,3,80,92,69,28,90,15,13,72,15,75,8,1,35,90,16,48,45,0,90,87,57,76,63,4,24,98,78,35,64,49,56,61,53,83,86,74,0,55,60,64,90,0,0,78,77,71,72,0,0,92,87,75,73,73,65,63,77,84,78,38,59,83,87,56,80,16,2,2,0,81,73,12,52
