date,WAP,Laugh Now Cry Later,Rockstar,Blinding Lights,Whats Poppin,7 Summers,Watermelon Sugar,Roses,Savage Love (Laxed   Siren Beat),I Hope,Go Crazy,Before You Go,Break My Heart,Midnight Sky,Adore You,Circles,For The Night,Come & Go,Mood Swings,Savage,Popstar,Rags2Riches,Death Bed,Blueberry Faygo,Die From A Broken Heart,Mood,Don't Start Now,The Woo,The Bones,One Margarita,Life Is Good,Wishing Well,Cardigan,Be Like That,Smile,Chasin' You,Intentions,We Paid,Cool Again,Party Girl,Tap In,Girls In The Hood,Say So,Rain On Me,Emotionally Scarred,Got What I Got,The Box,If The World Was Ending,Nobody's Love,Why We Drink,The Bigger Picture,One Of Them Girls,Lovin' On You,My Future,I Love My Country,Like That,Be A Light,Kacey Talk,Said Sum,Greece,Heather,More Than My Hometown,Done,Bluebird,I Should Probably Go To Bed,Lemonade,The 1,Un Dia (One Day),Bang,God Whispered Your Name,24,Toosie Slide,Breaking Me,One Beer,Girl Of My Dreams,Kings & Queens,Pretty Heart,I Called Mama,Dollaz On My Head,One Night Standards,ily,Exile,Martin & Gina,Happy Anywhere,Got It On Me,Some Girls,Mamacita,After Party,3 Headed Goat,Stuck With U,Conversations,Caramelo,Hate The Other Side,La Jeepeta,Bitch From da Souf,Righteous,Past Life,Something Special,21,Lonely If You Are,Hard To Forget,Supalonely,Letter From Houston,One Big Country Song,My Ex's Best Friend,Don't Rush,Freestyle,Need It,Life's A Mess,Move Ya Hips,Be Kind,Falling,Walk Em Down,The Last Great American Dynasty,My Tears Ricochet,August,Invisible String,Betty,No Dribble,Mirrorball,Blood On My Jeans,Lion King On Ice,Seven,This Is Me Trying,Illicit Affairs,Mad Woman,The Climb Back,Epiphany,Peace,Hoax,Go,Perfect,Sunday Best,Titanic,Stay High,Bad Energy,The Scotts,Tell Me U Luv Me,Up Up And Away,Fighting Demons,B S ,Does To Me,Man Of The Year,Can't Die,Chicago Freestyle,Flex,Screw Juice,Enjoy Yourself,The Adventures Of Moon Man & Slim Shady,I Want It,Gangstas,Let It Go,My Affection,Aim For The Moon,Beer Can't Fix,Here And Now,44 Bulldog,Gooba,Dior,High Fashion,Yea Yea,Make It Rain,What You Know Bout Love,Snitchin,Bad Bitch From Tokyo (),Creature,West Coast Shit,Pussy Fairy,Wash Us In The Blood,Diana,Tunnel Vision (Outro),Trollz,After A Few,How You Like That,Yo Perreo Sola,In Between,YaYa,Memories,Nobody But You,Hot Girl Bummer,Black Parade,Know My Rights,Daisies,Grace,Believe It,In Your Eyes,Do It,Stick That In Your Country Song,My Truck,X,Shotta Flow 5,I Hope You're Happy Now,Everything I Wanted,Snow On Tha Bluff,Bleed,Tommy Lee,Level Of Concern,One Shot,Need Me,All In,July,Heartless,Ride It ,Otherside Of America,Drinking Alone,Deep End Freestyle,The Man Who Loves You The Most,My Oh My,Dance Monkey,Out West,Sour Candy,Turks,Cooler Than A Bitch,That Way,Hard Days,Catch,Trillionaire,Worldwide Beautiful,Stupid Love,TKN,Godzilla,T D,Alice,Hasta Que Dios Diga,Lose Somebody,Sigues Con El,Solitaires,RITMO (Bad Boys For Life),Sum 2 Prove,Top Floor,Wunna,Blindfold,SkyBox,Argentina,Met Gala,Daechwita,Nasty Girl / On Camera,MOTW,Gimmick,Go Stupid,Be Something,Feigning
2020-05-01,12,1,27,81,28,0,4,71,0,86,34,57,83,1,95,100,87,16,31,100,12,2,95,83,20,79,100,44,97,27,97,22,23,99,84,65,67,49,22,66,55,1,100,1,100,86,98,100,3,56,2,32,21,8,42,34,96,0,7,52,48,42,90,84,1,60,100,7,72,58,51,55,56,84,78,39,56,3,0,30,61,31,0,1,49,79,22,74,0,3,67,50,0,15,0,100,19,40,25,73,49,92,5,15,0,100,78,97,0,0,93,96,83,0,0,5,1,25,4,1,0,0,70,3,0,8,0,30,77,72,84,89,44,43,45,35,100,0,58,6,74,92,41,26,100,84,0,23,0,99,20,88,26,1,0,85,8,0,60,85,75,26,0,24,0,88,0,63,0,35,0,0,85,4,72,94,25,97,75,72,5,6,24,54,100,80,100,0,82,58,0,0,88,0,96,49,48,92,85,100,1,89,87,0,79,52,0,95,93,38,3,60,4,100,47,94,3,2,47,1,86,92,61,0,6,93,28,36,93,40,1,62,83,74,12,0,0,6,63,78,86,25
2020-05-02,12,1,25,82,24,0,3,76,0,82,37,59,74,2,88,77,80,8,36,95,14,0,93,93,38,76,91,62,91,25,98,23,23,73,81,43,76,36,20,77,54,0,67,2,79,77,100,97,0,68,2,30,0,10,58,32,81,0,7,51,44,64,83,92,0,77,89,3,75,51,54,53,52,80,69,28,56,3,0,37,72,33,0,0,40,73,23,79,0,3,59,57,0,19,22,92,22,43,24,70,76,99,0,23,0,85,69,83,0,0,63,100,89,0,0,6,1,26,0,0,1,0,74,2,0,16,0,27,75,77,82,93,61,41,33,28,89,0,49,5,71,86,35,24,70,83,2,32,0,98,26,90,22,0,38,100,2,0,62,99,82,35,0,51,0,90,0,66,0,36,0,1,78,3,79,64,28,98,88,82,4,12,30,53,82,84,91,0,77,59,0,19,100,0,97,61,56,90,91,90,2,91,86,0,54,42,0,99,100,36,4,53,0,72,42,98,5,0,62,1,92,85,66,0,3,96,15,0,84,48,1,56,70,80,19,0,0,20,62,80,64,29
2020-05-03,13,1,26,86,24,0,4,78,0,80,33,61,74,3,93,77,100,22,35,90,14,0,100,84,38,76,93,66,92,24,97,30,22,72,92,43,73,33,33,75,60,1,62,1,68,76,100,97,6,51,1,38,11,9,31,34,72,0,12,52,46,24,88,99,0,69,89,0,75,41,53,43,55,75,57,26,49,2,0,27,68,34,0,1,23,73,26,82,0,1,59,56,1,13,37,93,23,44,25,35,44,99,0,24,0,86,63,82,0,0,57,97,56,0,0,6,2,28,0,1,3,0,68,1,0,11,0,33,77,76,84,91,84,38,41,37,68,3,45,11,70,89,37,40,46,87,0,13,0,100,18,82,19,0,39,53,6,0,65,86,69,31,0,39,0,90,0,80,0,38,0,1,69,3,100,67,29,100,75,85,6,3,27,70,75,77,86,0,76,60,0,19,83,0,98,59,46,85,93,91,2,89,82,0,81,34,0,96,92,35,3,56,0,76,41,96,4,4,100,1,88,94,66,0,3,93,19,77,91,46,2,66,75,80,22,0,0,14,84,93,64,30
2020-05-04,11,1,21,63,29,0,4,64,0,86,28,50,77,1,75,83,88,11,27,75,11,2,81,77,22,74,70,39,81,19,94,15,21,94,81,52,58,40,25,64,50,0,53,1,55,75,95,74,3,51,2,42,10,9,51,33,96,0,8,54,44,38,89,85,0,54,94,0,70,35,53,38,35,61,100,36,61,1,0,14,61,29,0,0,34,80,26,68,0,1,66,39,1,17,38,70,21,40,24,30,39,100,1,14,0,62,63,92,0,0,67,92,65,0,0,6,1,23,4,1,1,0,65,2,0,7,0,25,71,73,79,90,42,35,48,32,83,0,55,2,71,88,43,29,40,85,0,18,0,92,17,71,22,0,50,65,2,0,53,85,79,28,8,0,0,84,0,54,0,32,0,0,92,4,73,96,24,87,60,64,5,10,23,52,88,69,95,0,70,55,0,0,66,0,89,45,47,79,86,100,2,87,72,0,41,42,6,86,70,29,3,50,0,93,38,84,4,4,46,2,73,85,69,0,6,66,9,17,42,45,0,56,62,82,73,0,0,12,100,72,90,34
2020-05-05,11,1,21,66,27,0,4,62,0,100,32,59,79,3,90,77,86,3,27,76,12,2,91,85,24,78,81,35,96,37,87,18,20,100,82,49,67,27,25,69,56,1,52,1,58,75,92,76,2,46,2,33,0,10,31,32,97,0,13,51,41,42,92,85,0,55,86,0,70,58,53,40,44,55,71,25,52,0,0,26,53,29,0,1,31,67,27,83,4,1,66,46,1,14,12,76,23,40,25,28,50,83,1,32,0,57,63,91,0,0,100,87,40,0,0,6,1,22,0,0,1,0,69,2,0,8,0,29,74,68,75,89,38,38,52,41,92,0,65,6,73,91,39,30,30,81,3,20,0,87,20,77,22,1,16,45,2,0,53,81,79,22,0,84,0,83,0,89,0,31,0,0,94,3,73,100,28,80,69,74,4,5,20,48,90,65,93,0,77,55,0,15,73,0,83,29,43,75,83,99,2,81,71,0,38,54,0,79,79,28,3,52,0,100,46,85,6,2,35,2,69,89,69,0,6,62,16,0,70,55,1,56,81,82,100,0,0,5,53,84,92,34
2020-05-06,11,1,22,69,24,0,4,66,0,95,46,58,77,2,91,81,83,0,34,74,9,0,89,83,29,74,70,37,90,21,95,23,19,91,80,63,65,33,24,64,54,0,59,1,63,81,91,90,8,53,3,58,15,10,36,33,93,0,14,49,43,24,91,74,0,58,87,0,69,40,54,40,45,63,67,42,58,2,0,23,50,27,8,0,26,73,30,88,2,1,73,42,0,14,6,81,18,49,26,43,37,83,0,34,0,81,59,95,0,0,89,88,89,0,0,6,2,22,0,0,0,0,65,2,0,7,1,27,74,70,80,90,39,32,44,34,69,0,65,1,79,85,37,33,27,85,0,17,0,98,22,71,26,1,67,62,0,0,55,71,67,33,0,11,0,82,0,57,0,32,0,0,70,4,73,98,35,81,63,91,3,20,25,49,91,68,97,0,88,57,0,16,74,0,82,41,42,80,79,97,2,86,85,0,63,60,0,85,75,27,3,54,0,93,37,90,4,0,39,2,74,94,70,0,3,79,12,0,71,50,2,66,66,76,59,0,0,6,100,78,91,28
2020-05-07,12,1,25,63,27,0,4,68,14,80,43,52,72,2,84,74,81,8,29,75,9,2,91,81,35,77,79,42,100,19,95,18,19,97,82,45,73,39,15,69,55,1,66,1,36,81,96,88,0,45,3,36,5,9,36,33,87,0,2,50,43,43,92,79,0,61,85,0,70,36,51,37,49,72,77,23,40,4,0,28,58,28,0,1,43,72,25,83,68,3,69,44,1,16,6,78,21,49,26,37,41,78,2,35,0,58,59,90,0,0,65,88,88,0,0,6,1,24,4,1,4,0,64,3,0,10,1,27,71,83,76,87,39,32,43,36,58,3,66,8,74,90,39,25,29,85,0,27,0,93,22,77,18,0,34,63,2,0,56,82,83,35,8,34,0,89,0,86,0,32,0,1,73,4,73,98,37,85,68,62,4,8,29,48,90,67,96,0,68,58,0,33,72,0,87,34,37,77,78,94,2,74,81,0,73,29,0,86,74,30,3,46,0,89,42,84,5,3,36,2,75,95,67,1,5,80,22,0,72,42,1,51,56,76,41,0,0,18,71,79,91,40
2020-05-08,12,1,25,77,33,0,4,74,0,92,44,56,75,1,86,76,88,4,26,80,13,2,93,79,33,71,80,42,95,18,98,22,22,93,77,47,100,34,15,72,42,0,69,2,33,89,93,73,0,56,1,44,21,10,22,33,95,0,4,50,42,44,84,91,0,68,86,0,71,33,52,40,54,64,63,45,59,66,0,20,50,31,0,0,23,57,27,90,71,100,68,46,0,10,20,85,19,50,25,70,36,82,0,22,0,78,59,90,0,1,62,90,87,0,0,6,2,25,4,0,0,0,68,2,0,9,1,26,75,71,82,90,39,32,51,38,65,0,61,7,72,90,40,20,22,84,2,12,0,95,15,77,18,0,35,51,4,47,57,100,75,26,0,0,0,94,0,48,0,33,0,1,73,3,65,92,30,87,56,88,4,16,33,47,92,68,94,0,76,59,1,17,67,0,94,45,43,88,84,94,2,84,76,0,46,55,0,88,80,32,5,56,0,92,50,90,3,0,42,2,73,94,66,0,2,100,21,52,64,36,1,67,74,80,28,0,0,12,70,89,87,33
2020-05-09,13,1,25,90,47,0,5,94,0,90,45,64,75,2,82,72,87,22,33,85,12,3,95,78,37,72,68,55,88,26,92,22,21,73,82,66,80,34,21,69,55,1,63,1,66,83,97,76,0,49,2,27,17,8,88,33,70,0,12,47,50,29,83,99,0,76,84,4,75,42,53,48,51,84,79,32,47,100,0,33,63,33,0,0,36,97,30,73,48,58,62,57,1,18,15,87,20,52,25,50,69,92,0,40,0,72,60,86,0,0,53,97,69,0,0,6,1,27,5,1,0,0,69,1,0,8,1,27,77,66,81,91,46,42,44,36,64,0,53,7,67,96,41,34,20,81,0,26,0,89,27,80,17,1,20,60,4,100,65,94,86,31,0,53,0,100,0,90,0,37,0,0,68,3,65,62,32,100,69,100,5,6,39,53,81,75,89,0,86,60,0,58,69,1,94,52,46,82,88,89,2,84,89,0,89,25,0,95,82,32,6,63,0,72,43,93,4,0,46,2,92,90,53,0,13,86,17,39,36,46,1,67,70,81,24,0,0,20,70,89,74,40
2020-05-10,12,1,23,76,36,0,4,100,0,91,50,59,78,2,100,71,87,13,27,79,13,0,88,81,26,69,58,57,87,19,89,22,24,68,81,61,79,25,22,69,50,1,51,1,41,76,95,68,0,62,2,30,29,9,42,32,75,0,10,54,46,37,89,93,1,61,79,0,71,72,51,42,52,68,68,34,68,76,0,11,72,30,0,0,28,80,100,83,46,36,66,56,0,18,22,80,22,44,24,36,100,93,0,48,6,59,57,80,0,0,51,94,56,0,0,6,1,100,5,1,0,0,69,1,0,10,0,27,78,54,80,100,69,39,34,30,55,0,50,4,60,90,36,45,23,80,0,21,0,88,21,87,27,0,20,53,12,82,64,85,78,23,0,52,0,90,0,81,0,39,0,1,72,3,80,57,26,93,71,68,4,9,38,60,70,70,80,0,81,61,0,0,72,0,97,56,52,86,78,86,2,81,81,0,63,34,0,91,72,31,4,64,0,61,53,93,3,1,45,2,90,83,53,0,2,76,27,63,72,43,1,75,88,90,20,0,0,7,81,77,71,50
2020-05-11,12,1,20,66,29,0,3,65,0,92,35,49,70,1,75,71,83,19,26,74,13,2,78,67,26,73,58,49,88,12,81,21,19,86,84,72,65,35,13,77,49,1,64,1,45,80,89,68,0,60,1,43,25,9,42,33,100,0,8,49,42,21,89,87,0,49,86,2,68,40,52,34,46,62,67,27,50,32,0,23,56,28,0,0,26,75,31,78,26,25,68,36,0,10,6,73,21,46,26,37,39,84,0,42,0,42,57,93,1,0,58,85,75,0,0,5,2,82,4,1,1,0,67,2,0,10,1,25,70,53,78,87,44,46,40,29,54,0,63,7,69,85,33,34,18,87,0,8,0,86,9,74,21,0,34,43,3,64,55,82,72,22,0,45,0,83,10,77,0,33,0,1,77,4,67,92,24,82,71,78,5,8,28,49,86,66,94,0,73,56,0,17,75,0,86,35,38,72,78,93,2,69,82,0,57,45,68,77,65,31,3,50,0,88,42,86,4,5,37,2,70,94,72,0,5,79,13,0,50,41,1,48,73,84,15,0,0,12,66,60,90,37
2020-05-12,12,0,21,63,25,0,4,62,0,79,42,56,77,2,62,73,90,15,31,77,9,2,83,77,33,76,46,45,84,16,90,16,21,93,84,38,71,41,100,75,53,1,82,1,40,80,91,71,5,45,1,53,20,9,55,33,98,0,4,51,44,28,90,89,0,53,84,0,68,58,55,36,53,58,72,16,52,21,0,9,62,27,0,0,31,66,28,73,26,23,64,42,2,15,13,70,24,41,27,37,38,84,2,21,0,53,57,93,0,0,59,87,82,0,0,6,1,31,4,0,0,0,65,2,0,8,1,29,72,62,79,93,36,37,49,32,53,0,63,4,75,88,52,41,19,86,2,26,0,88,14,71,18,0,34,52,2,57,57,74,73,37,0,34,0,85,0,55,0,33,0,0,91,3,68,94,24,82,67,65,4,5,21,48,83,66,94,0,69,57,1,17,64,0,86,35,42,85,82,95,2,64,77,0,42,48,48,81,68,32,4,60,0,90,30,87,4,1,35,3,64,100,67,0,7,82,15,34,94,49,2,61,75,80,14,0,0,18,60,77,95,49
