date,Stay,Bad Habits,Good 4 U,Rumors,Kiss Me More,Levitating,Industry Baby,Butter,Deja Vu,Montero (Call Me By Your Name),Save Your Tears,Fancy Like,Take My Breath,Peaches,Leave The Door Open,Essence,You Right,Happier Than Ever,Heartbreak Anniversary,Need To Know,Blinding Lights,Glad You Exist,Leave Before You Love Me,Every Chance I Get,Forever After All,Late At Night,Thot Shit,Rapstar,Traitor,Waves,Skate,Without You,Pepas,Heat Waves,Wockesha,Astronaut In The Ocean,Things A Man Oughta Know,Arcade,Lil Bit,Famous Friends,Beautiful Mistakes,Beggin',Country Again,Chasing After You,Volvi,Drinkin' Beer  Talkin' God  Amen ,We Didn't Have Much,If I Didn't Love You,Whole Lotta Money,Cold Beer Calling My Name,2055,Single Saturday Night,Motley Crew,Todo de Ti,A-O-K,Yonaguni,Wild Side,Love Again,Ain't Shit,Drunk (And I Don't Wanna Go Home),You,Memory,You Should Probably Leave,Don't Go Yet,Paralyzed,Permission To Dance,I Was On A Boat That Day,Woman,Tombstone,My Boy,Gyalis,Memory I Don't Mess With,Come Through,You Time,Get Into It (Yuh),Buy Dirt,Cold As You,Mind Of Melvin,Papercuts,Baddest,Cold Heart (PNAU Remix),SUVs (Black On Black),Straightenin,Blame It On You,AM,Hats Off,Knowing You,Over The Top,Brainwashed,my life,Thinking 'Bout You,WUSYANAME,Favorite Crime,Outside,Ball If I Want To,Next Girl,I Like Dat,Steal My Love,Repeat It,5500 Degrees,Telepatia,My Ex's Best Friend,NDA,EPMD 2,Lose,I Hope Ur Miserable Until Ur Dead,Not Sober,Happier,Twerkulator,Fiel,Rare,Best Friend,Mood,One Too Many,Getting Older,Billie Bossa Nova,Oxytocin,I Didn't Change My Number,Way Less Sad,Lost Cause,Halley's Comet,My Future,Build A Bitch,From The Garden,Working,Wants And Needs,Settling Down,Gone,Red Light Green Light,Better Believe,Lick Back,Ski,Brutal,Minimum Wage,Holy Smokes,Still Chose You,Drivers License,Tell The Vision,pov,Bout A Million,Woo Baby,Mr  Jones,More Time,Manslaughter,Demeanor,transparentsoul,Am I The Only One,30,"Jealousy, Jealousy",Calling My Phone,Breaking Up Was Easy In The 90's,The Jackie,Follow You,Volando,4 Da Gang,De Museo,Wasting Time,All I Know So Far,Miss The Rage,Track Star,Renegade,Cry No More,Made For You,Having Our Way,What's Next,Enough For You,Juggernaut,Tell Em,Lemonhead,Lumberjack,Almost Maybes,Hot Wind Blows,Corso,I Don't Do Drugs,Sir Baudelaire,Sweet / I Thought You Wanted To Dance,Massa,RunItUp,Manifesto,Wilshire,Rise,What You Know Bout Love,Time Today,Up,Beat Box,Nobody,No Return,No More Parties,Quicksand,Gang Gang,Pick Up Your Feelings,Avalanche,We're Good,pride is the devil,Still Runnin,How It Feels,Black Hearted,Painting Pictures,Modern Day,Toxic,Solar Power,Malibu,Type Shit,Clueless,Voice Of The Heroes,Heart Of A Giant,Party Lyfe,Go Part 1,Epidemic,Boom,2040,"1 Step Forward, 3 Steps Back",Bloody Canvas,Who I Want,Back In Blood,Still Hood,Okay,Man Of My Word,Medical,Rich Off Pain,Lying,Snowflakes,That's Facts,Your Power,Please,Up The Side,Hope Ur OK,If You Want To,Seeing Green,The Good Ones,Hell Of A View,On Me,Killer,amari,Maybach,Goosebumps,Solid,Hello,The Business,95 south,Drankin N Smokin,Hold On,Wasted On You,Botella Tras Botella,Sun Goes Down,interlude,applying pressure,Streets,100 mil',let go my hand,24 Hours,punchin' the clock,the climb back
2021-05-01,80,4,0,17,64,70,0,43,79,71,57,2,9,77,100,67,75,5,100,43,97,53,0,65,80,26,0,96,18,73,15,85,16,49,41,55,29,78,79,24,53,3,55,52,3,0,0,4,9,22,50,44,9,6,12,0,12,57,10,0,82,82,7,0,55,0,4,68,36,73,6,0,65,81,3,36,44,6,1,47,0,0,0,52,85,44,78,23,14,84,64,0,0,98,0,37,14,20,70,0,100,22,15,0,78,0,9,10,24,65,85,23,90,55,13,1,18,0,100,5,4,65,5,55,69,24,65,79,66,19,26,70,50,83,26,6,62,0,54,0,12,68,79,62,37,44,9,63,0,69,42,61,85,23,40,61,14,3,3,46,68,41,73,3,80,17,45,26,8,41,60,0,93,0,0,0,78,0,55,32,100,82,93,75,98,100,59,100,97,76,91,26,65,0,0,71,5,29,39,96,15,98,2,23,2,4,0,24,37,75,56,0,0,65,47,12,87,35,54,0,87,28,0,100,76,51,0,75,1,89,63,96,37,25,63,85,86,84,64,6,48,87,23,100,15,8,2,99,53,0,64,0,0
2021-05-02,84,4,0,14,64,67,0,42,75,54,45,2,8,78,97,66,79,5,90,43,87,29,1,59,65,23,0,100,19,79,14,87,8,54,38,52,46,72,61,42,63,2,43,37,4,0,0,0,13,14,45,20,9,8,0,0,15,52,7,0,81,81,7,2,64,0,0,70,47,74,4,31,75,80,4,20,61,0,4,53,0,0,0,52,87,47,82,26,19,85,37,0,0,100,4,34,19,7,62,0,82,0,83,0,89,0,3,11,26,62,92,22,93,53,11,0,19,0,54,5,0,76,6,59,66,17,64,82,48,14,51,75,60,73,11,6,55,2,55,0,3,55,82,58,22,22,7,49,0,69,58,57,96,26,50,55,15,7,2,56,64,32,79,8,87,20,40,21,3,42,24,0,83,1,0,0,72,0,76,30,97,64,91,84,100,95,59,61,100,76,78,27,70,0,0,66,3,52,39,96,18,76,9,20,1,0,0,27,34,76,54,0,0,69,51,24,85,29,51,0,87,22,0,77,73,69,0,79,1,91,73,83,37,7,53,79,86,75,66,8,31,84,48,91,11,7,2,98,48,2,62,0,4
2021-05-03,87,5,0,14,76,61,0,34,71,90,42,2,9,68,80,65,84,6,83,52,62,42,1,98,96,21,0,96,18,100,11,84,10,47,50,54,47,61,50,30,54,2,47,37,3,0,25,4,7,7,46,22,8,7,0,0,12,45,7,47,82,88,15,0,65,0,4,64,44,76,4,28,81,84,0,47,44,0,4,70,0,0,0,42,88,31,88,26,14,76,47,0,0,89,10,30,12,6,73,0,86,19,26,0,99,0,12,11,20,66,82,21,91,83,14,0,20,0,20,6,2,88,5,62,78,29,58,74,51,15,15,66,46,87,17,0,85,4,49,0,5,54,92,57,31,20,6,51,0,81,53,50,89,24,36,54,11,2,3,55,58,29,97,11,70,25,47,22,2,38,11,0,91,0,0,0,79,0,62,43,91,74,73,82,95,72,74,74,91,69,49,21,100,0,0,84,1,44,48,97,20,66,2,16,1,8,0,12,38,79,76,0,0,74,45,33,86,57,84,0,88,21,43,78,84,72,0,93,1,69,56,73,32,6,47,66,98,81,100,9,100,83,52,71,6,6,7,83,57,1,60,0,8
2021-05-04,81,5,0,14,67,66,0,32,69,65,43,1,9,67,78,62,86,4,84,56,68,41,2,59,65,23,0,79,18,97,11,83,12,65,40,54,25,59,61,47,49,1,69,52,5,0,98,15,5,6,53,9,7,7,5,0,9,49,6,0,87,92,12,6,47,0,4,64,38,74,2,28,83,85,1,32,69,0,2,59,0,0,0,59,90,33,93,26,8,78,76,0,0,86,0,32,22,6,66,15,85,0,20,0,93,0,9,10,13,67,76,21,91,68,11,0,21,5,40,5,5,89,6,54,77,30,77,73,57,20,23,62,51,92,11,5,84,2,53,0,1,46,99,65,31,57,9,51,0,72,74,45,89,23,40,52,18,6,13,50,55,46,89,4,70,22,41,24,2,34,42,1,87,0,0,0,80,0,67,40,95,61,62,77,98,62,72,59,81,69,48,26,89,0,0,93,3,38,46,93,21,65,8,17,1,19,0,18,37,78,83,0,2,69,38,22,83,46,89,0,89,22,14,61,93,74,0,95,1,70,37,68,30,4,52,59,99,85,95,8,14,91,57,67,8,9,4,81,49,2,62,0,4
2021-05-05,78,5,0,13,72,60,0,30,70,51,40,1,8,55,78,59,85,4,84,52,63,31,1,59,77,26,0,79,14,88,11,79,11,66,36,56,15,54,61,31,57,3,61,42,3,21,24,4,11,13,48,34,8,8,27,0,10,50,4,0,82,95,9,2,52,0,0,65,33,75,4,0,75,86,2,39,75,0,4,41,0,0,2,27,88,37,84,21,16,79,46,0,1,85,6,28,11,0,81,0,81,19,17,0,88,0,8,9,8,68,70,20,89,74,10,0,19,0,48,5,12,99,7,55,77,28,64,69,63,33,15,60,44,92,13,5,71,2,51,0,13,50,93,62,39,0,8,49,0,67,52,47,92,23,74,48,16,4,10,56,56,28,94,5,87,21,32,26,2,42,21,0,88,1,0,0,79,0,74,40,87,61,58,83,74,66,61,43,71,69,32,20,90,0,0,80,0,43,47,85,21,62,12,17,0,0,0,9,30,76,84,0,0,82,47,43,83,41,85,0,87,23,0,58,86,71,0,89,2,70,64,68,29,4,47,52,100,79,96,6,28,88,40,68,9,9,6,84,67,2,63,0,9
2021-05-06,81,4,0,13,67,68,0,31,69,79,41,2,9,59,82,67,86,3,75,60,65,58,0,83,82,24,0,90,19,87,11,84,11,53,48,59,37,62,69,40,50,2,53,53,5,0,50,4,10,0,50,40,13,6,77,0,10,48,6,0,84,90,21,2,51,0,0,65,31,76,6,28,82,91,2,14,84,0,3,53,0,0,0,47,88,46,96,23,18,78,58,0,0,87,4,27,6,6,97,0,76,19,20,0,86,0,6,8,11,69,79,21,91,80,10,0,21,0,53,4,14,80,6,51,80,35,42,72,60,21,31,60,43,93,9,6,79,5,47,0,7,52,100,50,40,0,7,49,0,61,68,50,99,26,41,59,17,9,35,52,56,47,94,11,88,25,31,22,5,36,65,0,90,0,0,0,82,0,100,43,85,63,63,78,78,63,75,40,78,69,93,25,97,0,7,81,1,37,42,92,18,66,2,18,1,0,0,9,36,82,98,0,0,79,50,28,83,63,85,0,85,25,15,56,95,94,0,99,1,69,66,68,31,4,53,57,100,78,98,9,29,97,50,76,10,14,5,80,66,2,59,0,6
2021-05-07,76,6,0,13,82,74,0,33,67,78,41,3,8,61,86,63,89,2,75,52,72,43,0,51,76,31,0,83,23,88,12,81,8,60,47,64,27,64,59,40,46,3,49,31,4,0,26,0,10,34,41,18,7,7,28,0,9,52,7,0,82,91,22,0,48,0,8,63,36,78,4,59,74,85,0,32,62,0,1,54,0,0,2,29,85,48,73,26,8,79,58,0,0,84,0,26,0,19,71,0,85,20,18,0,81,0,7,10,15,65,79,21,96,98,14,0,19,0,34,5,13,81,8,53,72,29,64,73,69,19,28,61,45,91,13,0,74,2,50,0,10,60,94,38,34,0,6,47,0,69,55,53,92,23,58,53,10,100,100,46,61,15,90,10,87,19,35,30,4,39,33,0,93,1,0,0,77,0,65,39,82,38,68,77,94,69,68,57,72,72,56,18,91,0,0,74,3,28,50,92,20,69,9,19,1,0,0,16,34,80,96,0,0,74,53,17,84,54,81,0,81,28,0,50,87,88,0,85,2,59,68,69,33,4,58,60,91,82,90,8,44,85,48,72,11,100,3,91,46,1,54,0,2
2021-05-08,83,4,0,12,83,83,0,40,80,91,47,2,9,78,94,69,77,2,91,45,84,47,1,77,85,28,0,97,20,75,14,88,13,59,53,71,41,73,43,38,82,2,31,41,3,0,28,4,9,22,39,35,9,7,31,0,15,62,9,0,84,86,20,0,47,0,0,71,37,79,4,0,80,80,1,52,69,0,3,50,0,0,0,63,85,49,99,24,17,86,44,0,0,85,7,36,32,22,69,0,87,0,17,0,83,0,3,10,7,66,87,23,93,59,10,0,17,0,68,6,2,75,8,58,66,19,56,78,40,20,52,69,48,76,16,3,55,0,53,0,9,46,80,46,26,0,6,43,0,86,59,55,83,22,51,56,16,84,63,53,65,45,85,3,82,19,59,22,4,41,36,0,90,0,0,0,74,0,57,42,87,24,83,76,84,84,66,88,83,76,49,37,71,0,0,71,0,48,80,98,17,85,10,21,0,4,0,7,30,80,79,0,0,78,54,25,83,17,54,0,75,26,16,44,76,66,0,88,2,81,100,84,38,5,57,77,87,72,70,8,16,81,55,77,7,39,6,94,41,1,59,0,6
2021-05-09,83,4,1,12,93,77,0,41,74,83,40,2,8,73,91,68,75,2,87,41,81,66,3,76,71,33,0,65,20,78,13,95,13,59,60,73,48,70,86,49,50,3,47,61,4,0,0,0,9,15,36,41,2,6,19,0,10,60,9,0,86,84,10,0,76,0,0,75,43,81,0,0,59,82,1,37,53,0,2,75,0,0,0,38,86,42,94,25,21,93,72,0,0,88,0,31,21,14,40,0,73,0,15,0,83,0,12,8,18,67,100,25,95,69,12,0,18,6,42,4,8,90,7,69,67,27,62,78,49,21,22,70,48,70,13,0,49,1,54,0,8,58,76,55,30,0,10,44,0,65,70,48,78,25,47,58,17,56,40,49,64,38,82,5,92,19,47,22,2,39,25,0,89,0,0,0,67,0,47,27,86,54,86,78,85,91,70,68,81,76,100,31,72,0,0,75,0,42,100,100,17,75,2,22,1,0,0,14,28,79,92,0,0,74,46,25,89,18,49,0,81,21,33,43,73,66,0,78,1,78,70,80,40,4,50,72,85,73,68,8,49,80,43,67,11,24,4,83,42,0,63,0,2
2021-05-10,84,5,1,14,70,69,0,33,68,64,37,3,7,60,65,62,80,2,73,53,60,58,1,44,37,21,0,75,18,86,11,87,14,56,66,55,53,57,56,46,54,2,52,24,4,0,0,4,9,0,57,27,6,6,33,0,11,48,7,0,84,91,15,4,57,0,4,61,36,77,4,0,77,84,2,26,80,0,2,50,0,0,2,33,91,39,89,28,20,76,40,0,1,85,4,30,12,6,80,8,76,39,18,0,93,0,6,8,6,64,81,21,92,75,9,0,21,0,33,6,2,100,8,53,79,31,71,70,56,25,12,62,46,93,12,3,79,1,51,0,5,50,100,49,41,0,8,49,0,62,92,50,97,23,36,48,12,43,36,46,58,15,96,10,100,23,35,27,4,47,22,1,91,0,0,0,74,0,57,42,81,32,64,77,65,65,82,46,75,73,77,21,89,0,0,77,1,26,71,93,19,69,11,18,2,12,0,22,35,79,80,0,2,79,41,17,85,74,93,6,82,31,15,40,89,74,0,90,2,68,52,68,35,5,50,69,97,76,98,10,29,84,50,54,5,20,8,78,48,2,56,0,7
